,post_title,post_username,post,reply to
0,"SAF IPPT, IPT & RT Questions...",ahhjiee,"Hi guys, Just a question. I'm having an IPPT on thurs 21/12 (last booking before my window closes) However, today I'm have fever and flu which i do not think will recover in time for thurs.  Am I suppose to tell the PTI to just fail me straight or do I need to produce MC?",NIL
1,"SAF IPPT, IPT & RT Questions...",Calander,enter camp either in PT attire or CV.,"UVERtainment wrote: silly question, but can i enter the fcc for my ipt in bermudas or shorts? i was wondering if civilian attire means only jeans/pants"
2,"SAF IPPT, IPT & RT Questions...",Calander,yes correct,krypst wrote: Ah i see. I had my ICT this july and took an IPPT then but failed it as well. That does put me as an IPPT failure right?
3,"SAF IPPT, IPT & RT Questions...",numbers,"you have to do all station, including 2.4 run. You can walk all the way. If dont complete, no attendance is given.","Drainfly wrote: Hey guys, i have my ippt today at bedok FCC and i’d like to ask. If i know im going to fail, can i declare fail or must i finish all 3 stations?"
4,"SAF IPPT, IPT & RT Questions...",Calander,"finish all 3 stations otherwise your attendance will be forefited.  fail your ippt and ur attendance will still be considered.  unless under medical grounds (e.g cramps, faint etc)","Drainfly wrote: Hey guys, i have my ippt today at bedok FCC and i’d like to ask. If i know im going to fail, can i declare fail or must i finish all 3 stations?"
5,"SAF IPPT, IPT & RT Questions...",numbers,"If you did not attempt IPPT, they can charge you. PTI will not fail u without any attempting the stations. It is a rule. So my suggestion is, u got MC, and u want to fail, just go, do 1 sit up, 1 pushup, walk the 2.4. Get the attendance.","ahhjiee wrote: Hi guys, Just a question. I'm having an IPPT on thurs 21/12 (last booking before my window closes) However, today I'm have fever and flu which i do not think will recover in time for thurs.  Am I suppose to tell the PTI to just fail me straight or do I need to produce MC?"
6,"SAF IPPT, IPT & RT Questions...",Calander,"produce MC because u are not supposed to take IPPT if u have MC over the past 3 days. your unit will still charge u for failing to satisfy your window, but warning will may be issued instead.","ahhjiee wrote: Hi guys, Just a question. I'm having an IPPT on thurs 21/12 (last booking before my window closes) However, today I'm have fever and flu which i do not think will recover in time for thurs.  Am I suppose to tell the PTI to just fail me straight or do I need to produce MC?"
7,"SAF IPPT, IPT & RT Questions...",UVERtainment,definition of cv = long pants/jeans?,Calander wrote: enter camp either in PT attire or CV.
8,"SAF IPPT, IPT & RT Questions...",Calander,"yes, n no slippers or sandals.  what kind of attire were u allowed to book-in into camps during your active times?",UVERtainment wrote: definition of cv = long pants/jeans?
9,"SAF IPPT, IPT & RT Questions...",Zetrio2006,Pass 51 points got incentive?  Or need Pass plus 61 points?  NSman here,NIL
10,"SAF IPPT, IPT & RT Questions...",Bing88,"Below 61 no money 61 and above - $200 (pass) 75 and above - $300 (silver) 85 annd above - $500 (gold) 90 and above(for commando ,guards, diver) - $500 (gold)",Zetrio2006 wrote: Pass 51 points got incentive?  Or need Pass plus 61 points?  NSman here
11,"SAF IPPT, IPT & RT Questions...",TypicalMan,,"Bing88 wrote: Below 61 no money 61 and above - $200 (pass) 75 and above - $300 (silver) 85 annd above - $500 (gold) 90 and above(for commando ,guards, diver) - $500 (gold)"
12,"SAF IPPT, IPT & RT Questions...",vaguejizz,"anyhow knows what happens if u didnt go for a single session of RT ah? first time offense, next window get charge?",NIL
13,"SAF IPPT, IPT & RT Questions...",KeroMax,"If I don't start my ICT cycle before my 30th birthday, does it mean I confirm will do IPPT until 40 years old?",NIL
14,"SAF IPPT, IPT & RT Questions...",Calander,"u will be considered as a ippt defaulter and will be charged accordingly (e.g warning, fine etc).","vaguejizz wrote: anyhow knows what happens if u didnt go for a single session of RT ah? first time offense, next window get charge?"
15,"SAF IPPT, IPT & RT Questions...",Calander,most likely yes as high chances u will not be able to meet 7HK3LK,"KeroMax wrote: If I don't start my ICT cycle before my 30th birthday, does it mean I confirm will do IPPT until 40 years old?"
16,"SAF IPPT, IPT & RT Questions...",jAguero_,"Yo guys, how’s the RT nowadays ah? Will it be Super shiong? Need to mentally and physically prep myself",NIL
17,"SAF IPPT, IPT & RT Questions...",Zetrio2006,Nowadays RT very short. 1 hour exercise only. Last time is at least 1.5h of exercise.,"jAguero_ wrote: Yo guys, how’s the RT nowadays ah? Will it be Super shiong? Need to mentally and physically prep myself"
18,"SAF IPPT, IPT & RT Questions...",Calander,definitely not shiong like bmt or any saf training.,"jAguero_ wrote: Yo guys, how’s the RT nowadays ah? Will it be Super shiong? Need to mentally and physically prep myself"
19,"SAF IPPT, IPT & RT Questions...",hydetetsu,Hi guys  I'm attending my last high key on this feb 2018 and will rod  Will i still need to attend the remaining rt for this year and the my birthday falls on May  Thanks alot,NIL
20,"SAF IPPT, IPT & RT Questions...",Rusty89,"Hey guys, i have recently attended my first IPT-IPPT session and intended to go for the IPT in the park programme. I tried to ask the cisco instructors about the program but they said they dont know and that it is handled by other company. The NS portal also seem to be under maintenance.  Just want to check if anyone has experience attending such programme? For example, where to meet at marina bay? do they also issue colored bands for training? and how they generate the slip for attendance? Many thanks!",NIL
21,"SAF IPPT, IPT & RT Questions...",El Hadji Diouf,I last time took IPT-In-The-Park regularly at Jurong Park (Now MINDEF have removed this location due to low attendance) and yes it is conducted by another fitness company. Usually when you arrived at their meeting point they will take your temperature and ask you to sign their attendence list as inpro. There is no colour band as they have only one type of training programme for that session like for example: circuit training + yoga or kickboxing + endurance running etc. And after the training before you leave you are required to sign the attendance list again as outpro and one or two working days later they will update your attendance on ns.sg,"Rusty89 wrote: Hey guys, i have recently attended my first IPT-IPPT session and intended to go for the IPT in the park programme. I tried to ask the cisco instructors about the program but they said they dont know and that it is handled by other company. The NS portal also seem to be under maintenance.  Just want to check if anyone has experience attending such programme? For example, where to meet at marina bay? do they also issue colored bands for training? and how they generate the slip for attendance? Many thanks!"
22,"SAF IPPT, IPT & RT Questions...",Illusionist_85,"I find it easier to earn money at older age, maybe due to reduced requirements  Sent from Sony Z4 using GAGT",TypicalMan wrote: IPPT first few years Jin easy. Free $$$
23,"SAF IPPT, IPT & RT Questions...",goatnatus,"Hi, I would like to ask if I could retake my IPPT again before my birthday if I were to fail.",NIL
24,"SAF IPPT, IPT & RT Questions...",Rusty89,"Wow still have yoga or kickboxing, thats quite interesting. thanks alot for sharing the experience",El Hadji Diouf wrote: I last time took IPT-In-The-Park regularly at Jurong Park (Now MINDEF have removed this location due to low attendance) and yes it is conducted by another fitness company.  Usually when you arrived at their meeting point they will take your temperature and ask you to sign their attendence list as inpro. There is no colour band as they have only one type of training programme for that session like for example: circuit training + yoga or kickboxing + endurance running etc.  And after the training before you leave you are required to sign the attendance list again as outpro and one or two working days later they will update your attendance on ns.sg
25,"SAF IPPT, IPT & RT Questions...",vaguejizz,will i have still have to complete 20 rt next cycle? thanks,"Calander wrote: u will be considered as a ippt defaulter and will be charged accordingly (e.g warning, fine etc)."
26,"SAF IPPT, IPT & RT Questions...",Calander,definitely yes.,vaguejizz wrote: will i have still have to complete 20 rt next cycle? thanks
27,"SAF IPPT, IPT & RT Questions...",Calander,"u can take an unlimited attempts of IPPT. only if u are to qualify for the higher award (pass w incentives to silver or gold), u will be paid additional for the difference.","goatnatus wrote: Hi, I would like to ask if I could retake my IPPT again before my birthday if I were to fail."
28,"SAF IPPT, IPT & RT Questions...",Calander,"by right MR cycle will only officially end on every April of the year due to SAF workyear. Therefore, u are actually required to attend the remaining RTs. But on the other hand, SAF is quite lenient towards such cases of not completing the cycle. I am curious, since u had attended so many NS cycles, why wasn't such an info made know to u by your peers or commanders?",hydetetsu wrote: Hi guys  I'm attending my last high key on this feb 2018 and will rod  Will i still need to attend the remaining rt for this year and the my birthday falls on May  Thanks alot
29,"SAF IPPT, IPT & RT Questions...",bryanljh,"Hi, suppose if i'm required to take rt next window, am I required to do ippt in the next window as well?",NIL
30,"SAF IPPT, IPT & RT Questions...",Calander,there will be RT-IPPT in the stipulated RT sessions. take note on that.  you cannot book a separate non-ICT-IPPT if u are under RT program. but u can take ICT-IPPT during your ICT and can be cleared of your window provided u pass.,"bryanljh wrote: Hi, suppose if i'm required to take rt next window, am I required to do ippt in the next window as well?"
31,"SAF IPPT, IPT & RT Questions...",bryanljh,"Hi, thanks for your reply. So what happens if I fail the RT-IPPT but I clear all 20 session of RT, am I required to do RT for the next window?",Calander wrote: there will be RT-IPPT in the stipulated RT sessions. take note on that.  you cannot book a separate non-ICT-IPPT if u are under RT program. but u can take ICT-IPPT during your ICT and can be cleared of your window provided u pass.
32,"SAF IPPT, IPT & RT Questions...",Calander,"No. similar to IPT, as long u have attended the require number of sessions, u will be cleared of that window. Your next window will be new, where u can choose to do IPT (10 sessions) or clear your window with just 1 ""PASS"" IPPT.","bryanljh wrote: Hi, thanks for your reply. So what happens if I fail the RT-IPPT but I clear all 20 session of RT, am I required to do RT for the next window?"
33,"SAF IPPT, IPT & RT Questions...",Uramasa,"Guys, dont mind me asking. can I drive in to Khatib camp to take IPPT? if yes, do you know where is the car park? and how's the process going to be, go in with car then report to guard house to change pass then go in?  anyone has drive in before and would like to ask for their experience .  Thank you",NIL
34,"SAF IPPT, IPT & RT Questions...",Peekachu,Any idea what happens if I failed to turn up for an IPPT booking? Hearsay miss 3 times the system will block you from booking then how to unblock?,NIL
35,"SAF IPPT, IPT & RT Questions...",Blahhh,"Does RT/IPT still have that brown tag ""specialised training"" which is MMA/spin/Aerobic class? Damn fun leh.",NIL
36,"SAF IPPT, IPT & RT Questions...",Calander,"drive into the checkpoint just after the guardroom and pass ur IC to them for them to check on the nominal roll if ur name is there. carpark is at the open area just beside the FCC. u can ask the checkpoint IC if in doubt. lastly, in-pro at the FCC counter at ur session timing.","Uramasa wrote: Guys, dont mind me asking. can I drive in to Khatib camp to take IPPT? if yes, do you know where is the car park? and how's the process going to be, go in with car then report to guard house to change pass then go in?  anyone has drive in before and would like to ask for their experience .  Thank you"
