,post_title,post_username,post,reply to
0,FFI : need to go every year after 35?,ah_fu,"anyone can confirm this. I clear my FFI last yr at 35. Received another saf100 to go FFI again in march13.  i thought FFI is call up every 2 year: 35, 37, 39...  going to screw them if they anyhow call me back.",NIL
1,FFI : need to go every year after 35?,Raider04,System has changed. No longer have Phase 1 and 2.,"ah_fu wrote: anyone can confirm this. I clear my FFI last yr at 35. Received another saf100 to go FFI again in march13.  i thought FFI is call up every 2 year: 35, 37, 39...  going to screw them if they anyhow call me back."
2,FFI : need to go every year after 35?,ah_fu,"ok.. going to be pricked by those nsf for blood test ...in the first blood test, i got poked 3 times and they still cannot extract the blood until the full time senior medic came.. 1 shot 1 kill...swee....",NIL
3,FFI : need to go every year after 35?,georgeleong,lucky u lolz... i hv nvr got FFi done before..,NIL
4,FFI : need to go every year after 35?,Tokieda,who arrange FFI? unit?,NIL
5,FFI : need to go every year after 35?,Kiwi8,"Wah... really must go every year liao.  Quote: MINDEF Services > Non-ICT IPPT/RT > FAQ > Medical Excuse and Examination  Q4 I have reached 35 years old and was informed that I need to do an ""IPPT-FFI"". What is an ""IPPT-FFI""? ""IPPT-FFI"" was the term used to refer to the compulsory medical examination done for all IPPT-eligible NSmen aged 35 and above. The ""IPPT-FFI"" has been incorporated into the revised SAF Health Screening Programme which came into effect on 30 May 2011. There is no need to do a separate ""IPPT-FFI"" if you have already completed the SAF Health Screening Programme for that year.  All IPPT-eligible NSmen aged 35 years and above are required to complete the SAF Health Screening Programme every year before attempting IPPT. The aim of this medical screening is to detect any medical conditions which may make you unsuitable for the IPPT. You will not be allowed to take the IPPT if you are 35 years old and above and have not completed your SAF Health Screening Programme requirements for the year.  The SAF Health Screening Programme review will be initiated by your NS unit administrator when your IPPT window (birthday window) is open. You will be issued with a certificate after completion of your SAF health Screening Programme requirements. The certificate is valid until 30 day after your birthday. For example, if you are 35 years old, the certificate will be valid until (and including) the 30th day after your 36th birthday.",Raider04 wrote: System has changed. No longer have Phase 1 and 2.
6,FFI : need to go every year after 35?,ntucfairprice,"i dun think i will need to do age 35 FFI, because I will MR by age 31.....",NIL
7,FFI : need to go every year after 35?,skyman1,"Do you know if you finish 10 years cycle too early, they may extend you to 15 yrs or 20 yrs cycle. For me, I did 17 years cycle to complete.",NIL
8,FFI : need to go every year after 35?,vasilli07,"Nah...once u in MR, won't be called up liao unless Singapore got war. U probably the only 1 to do 17 years cycle.","skyman1 wrote: Do you know if you finish 10 years cycle too early, they may extend you to 15 yrs or 20 yrs cycle. For me, I did 17 years cycle to complete."
9,FFI : need to go every year after 35?,skyman1,He think he will be MR by 31 years old. So he haven't MR yet. My whole platoon mate did > 15 years. This is common.,"vasilli07 wrote: Nah...once u in MR, won't be called up liao unless Singapore got war. U probably the only 1 to do 17 years cycle."
10,FFI : need to go every year after 35?,vasilli07,"Most active units will call people back once a year so they will complete in 10 years. Of cuz there are some units who only call people up every few years, that's why they will drag till they need to do FFI.  I will MR next year, so no FFI for me either.",NIL
11,FFI : need to go every year after 35?,Kiwi8,Yeah some units only call up their servicemen either once every 2 years or once every 3 years.,"vasilli07 wrote: Most active units will call people back once a year so they will complete in 10 years. Of cuz there are some units who only call people up every few years, that's why they will drag till they need to do FFI.  I will MR next year, so no FFI for me either."
12,FFI : need to go every year after 35?,lanevo7rs,"Quick question,  if I've already MR-ed and have no more IPPT/RT liabilities, I can safely ignore the HSP appointment set up for me automatically?",NIL
13,FFI : need to go every year after 35?,vasilli07,Why not just call them and ask them to cancel it?,"lanevo7rs wrote: Quick question,  if I've already MR-ed and have no more IPPT/RT liabilities, I can safely ignore the HSP appointment set up for me automatically?"
14,FFI : need to go every year after 35?,Kiwi8,"Hmmm u may want to call up to confirm, cos it's SAF100, should not play play.","lanevo7rs wrote: Quick question,  if I've already MR-ed and have no more IPPT/RT liabilities, I can safely ignore the HSP appointment set up for me automatically?"
15,FFI : need to go every year after 35?,lanevo7rs,"I did not get an SAF100, just a simple email saying I have a medical appointment, that's why I'm confused.  I did call the stated number once and asked what if I forget and missed the appointment, the fella on the line said nothing will happen. Afterall what can they do to me? Fine me $X00 for not turning up?","Kiwi8 wrote: Hmmm u may want to call up to confirm, cos it's SAF100, should not play play."
16,FFI : need to go every year after 35?,Kiwi8,"If that's your case where there's no SAF100 then ok lor, probably can skip. But if it's via SAF100 where your appointment can be reimbursed for half-day makeup pay then u cannot play play.","lanevo7rs wrote: I did not get an SAF100, just a simple email saying I have a medical appointment, that's why I'm confused.  I did call the stated number once and asked what if I forget and missed the appointment, the fella on the line said nothing will happen. Afterall what can they do to me? Fine me $X00 for not turning up?"
17,FFI : need to go every year after 35?,Kyoji83,"To add on even if we have MR, we are still liability to call up to the age of 40(WOSE) to 50(Officer) year old.",NIL
18,FFI : need to go every year after 35?,coutuser,I thought MR wont call back unless war?,"Kyoji83 wrote: To add on even if we have MR, we are still liability to call up to the age of 40(WOSE) to 50(Officer) year old."
19,FFI : need to go every year after 35?,Kyoji83," The different is we are no long under our unit but inside MR list (and apart from that is we do not needs to do IPPT, only needs to standby for activation).  Unless someone needs you then dig you out from MR list to deploy you, you are safe from NS duties. ",coutuser wrote: I thought MR wont call back unless war?
20,FFI : need to go every year after 35?,derrickgoh,"Very generally speaking, yes they wouldnt touch u unless got war.  Having said that, touchwood one day if s'pore got earthquake or tsunami & extra manpower required for rescue efforts, u can still be activated.  Depending on your vocation also. Like when jamban mat escaped, some active units were deployed in the manhunt & i heard got reservist units placed on standby at last minute also. If u r combat vocation chances are higher.  Having said all that, they also dont want to call u back unless no choice. Its an admin nightmare for them. If your unit stand down liao, where do they throw u? And some of your gear may not even be compatible with existing stuff e.g. I doubt the camo helmet cover can fit the old school metal helmet.",NIL
21,FFI : need to go every year after 35?,mgx-alander,the ffi is for ippt not for deployment  but if u booked holiday b4 spf100 then u shld be able to defer no?,NIL
22,FFI : need to go every year after 35?,Calander,old thread.,mgx-alander wrote: the ffi is for ippt not for deployment  but if u booked holiday b4 spf100 then u shld be able to defer no?
23,FFI : need to go every year after 35?,Lordzephyr9,where to see FFI status or cert?,NIL
24,FFI : need to go every year after 35?,matey1982,"are you at least age 35?  FFI now is every year haf to do the moment u r at least 35 One tell tale sign is try booking ippt thrgh NS portal if u can book + assume u r at least 35, thats mean your FFI is cleared and good to go",Lordzephyr9 wrote: where to see FFI status or cert?
25,FFI : need to go every year after 35?,Chao_Ah_Tiong,"BTW if my HSP appointment is at 9:30am but the SAF100 stated that I have to report at 8am, then we need to be at the medical centre by 8am or 9:30am?",NIL
26,FFI : need to go every year after 35?,Calander,930am.....,"Chao_Ah_Tiong wrote: BTW if my HSP appointment is at 9:30am but the SAF100 stated that I have to report at 8am, then we need to be at the medical centre by 8am or 9:30am?"
27,FFI : need to go every year after 35?,alamakazim,early do finish.. early go back  sometimes there is a queue.... 1st come 1st serve,"Chao_Ah_Tiong wrote: BTW if my HSP appointment is at 9:30am but the SAF100 stated that I have to report at 8am, then we need to be at the medical centre by 8am or 9:30am?"
28,FFI : need to go every year after 35?,Chao_Ah_Tiong,Calander wrote: 930am..... OK noted. Thanks a lot for your information.,alamakazim wrote: early do finish.. early go back  sometimes there is a queue.... 1st come 1st serve
29,FFI : need to go every year after 35?,Aaron_soh80,every yr check one time lay.. they wan ensure if u r fit for ippt..by the way havent MR meh ?,"ah_fu wrote: anyone can confirm this. I clear my FFI last yr at 35. Received another saf100 to go FFI again in march13.  i thought FFI is call up every 2 year: 35, 37, 39...  going to screw them if they anyhow call me back."
30,FFI : need to go every year after 35?,matey1982,not every year la its oni when u turn 35 onwards,Aaron_soh80 wrote: every yr check one time lay.. they wan ensure if u r fit for ippt..by the way havent MR meh ?
31,FFI : need to go every year after 35?,Shawshankredempti0n,Now some crazy General (NS) politician escalating situation with Malaysia maybe they will dig out the MR list liao. FFFFFFFFFFFFFFFFk,"Kyoji83 wrote: Nope, we are still liability for NS if not they cannot even touch us at war time.  The different is we are no long under our unit but inside MR list (and apart from that is we do not needs to do IPPT, only needs to standby for activation).  Unless someone needs you then dig you out from MR list to deploy you, you are safe from NS duties."
32,FFI : need to go every year after 35?,reddevil0728,you have a concern about that?,bozoka86 wrote: Just to check. Does pre ippt medical check out check for HIV also? I understand there is blood test. Anyone gone through this?
33,FFI : need to go every year after 35?,bozoka86,Just curious only. I am definitely safe!,NIL
34,FFI : need to go every year after 35?,jupiter12,"For FFI now (above 35), how to book an appointment?",NIL
35,FFI : need to go every year after 35?,Illusionist_85,Call your unit to make appointment lo  Posted from PCWX using ganyu mobile,"jupiter12 wrote: For FFI now (above 35), how to book an appointment?"
36,FFI : need to go every year after 35?,matey1982,"now no change still lah once u hit 35, it's every yr must do FFI before u can even think abt booking the IPPT/RT/IPT or the soon-to-be-launched NS FIT",NIL
37,"After 40 years old, still need to go back to reservist?",klarklar,"Is it true that once a Singaporean male reaches 40 years old, he will not be called back for reservist training? What if he still has not completed the full reservist cycle?",NIL
38,"After 40 years old, still need to go back to reservist?",Ottoke,Depends on your unit,NIL
39,"After 40 years old, still need to go back to reservist?",klarklar,"So, there is no general rule or law that says once reach 40, no need to be called back, right?",Ottoke wrote: Depends on your unit
40,"After 40 years old, still need to go back to reservist?",Kak_Worm,"If occifer will still need to go back, if reach 40 but still not yet complete cycle. Occifer age limit is until 45.","klarklar wrote: Is it true that once a Singaporean male reaches 40 years old, he will not be called back for reservist training? What if he still has not completed the full reservist cycle?"
41,"After 40 years old, still need to go back to reservist?",buttbERry,40 shld clear all ict liao leh  unless u keep siam,NIL
