level,date,purchased,review
Level 2. Rookie,Updated 2d ago,Purchased,"[Network]
the only 4 stars i'd give here as it can sometimes be a bit slow in basements and the red line but is not like cannot load at all so still ok

[Customer Service]
friendly customer service team that replies even late at night, only wish that they have hotline so i can thank them over the phone personally

[Ease of porting]
first time porting number so i a bit scared but it happened without issues overnight"
Level 2. Rookie,Updated 4d ago,Purchased,"[Customer Service]
Customer service team is courteous and really know their stuff. They helped clarify that I wouldn't be getting a free tablet with my Data Only subscription, which was a bit of a bummer but it makes sense. Still might get a tablet later for my parents. 

[Network]
I work remotely on my galaxy tab A LOT so having 50gb to pull my work files is a great help"
Level 4. Prodigy,Updated 5d ago,Purchased,"I am writing this as i intend to switch to another telco. Reason being Circles network is really poor. I have been with Circles for some time, the benefits are really generous and customer service is prompt and friendly. But network is core when it comes to selecting a quality telco. Probably M1 network has been deteriorating and Circles that leech onto M1 network is implicated. Thus, its users indirectly affected."
Level 2. Rookie,Updated 6d ago,Purchased,"[Network]
Can't tell the difference between this and the Giga line I switched from. 

[Customer Service]
Really friendly agents, especially on IG. Kai was easy to talk to and answered all my queries promptly. 

[Mobile App]
Nicely designed app. Love that everything is so clear and there's the option to preview your upcoming bill. This is transparency all other telco's should adopt."
Level 2. Rookie,Updated 2w ago,Purchased,"I cancelled one of my Circle Line back in Jan-2021 as they port over my plan wrongly.
Supposed to be under CIS plan when I did the port over but they did not capture this request.
Moreover, after the cancellation of my line, they still charged me for Feb-2021 billing (which they are not supposed to).
I still have another line under Circles and if they still charge me my cancelled number in Mar-2021 billing, I will surely proceed to cancel all my line with Circles and stop using them "
Level 2. Rookie,Updated 2w ago,Purchased,"Porting over my number was super easy. And you can never run out of or worry about data with Circles. Mobile app has really good UI, I never encountered any issues with buying add-ons or checking my bills. Top-notch customer service as well. If you're looking to port over from another telco, I highly recommend circles"
Level 2. Rookie,Updated 2w ago,Purchased,"As a long time customer and someone who works on the go a lot, circles really does a great job at delivering a powerful and portable product.

I switched over from singtel to the 100 GB plan and have managed to roll over my unused data to the max of 300 GB. I also got their multisim product which allows me to share all that data on my phone with my iPad, a super useful feature when I am meeting clients outside the office. Signal is good around my office area in the CBD and I haven't encountered any issues when visiting my clients around the island either. 

I also really enjoy their customer service. Even when I'm busy and forget to reply, an agent always comes to follow-up on my case. Highly recommend circles to everyone."
Level 2. Rookie,Updated 2w ago,Purchased,"Great Customer Service and fast
Network to stream movies. The User friendly Mobile app makes it easy to navigate the add-ons as well. Highly recommend using Circles ☺️"
Level 2. Rookie,Updated 3w ago,Purchased,"Have been using Circles for years now, and i have nothing bad to say.  Exceptional customer service. I always have so much data, i don't even use my wifi at home anymore! Best thing is you can also use your hotspot when you are working outside as well - super convenient. Marketing is always top notch too."
Level 2. Rookie,Updated 3w ago,Purchased,"Finding the right mobile plan is difficult, but choosing circles was easy! 

I've been looking for a chance to switch my current plan with starhub with something better and the 50GB cny offer from circles was simply irresistible. Unlike gomo which baits you with an upgraded plan for just 1 month, I get to keep my 50GB forever for just $18/mo! "
