,Feature,Descriptor,Sentiment,Freq of Feature
0,professional,staff,1,4
0,professional,medic,1,4
0,professional,instructors,1,4
0,people,recommended,2,130
0,people,suggest,1,130
0,people,threatens,1,130
0,people,threatens,1,130
0,people,threatens,1,130
0,people,ask,1,130
0,people,kept,1,130
0,people,call,1,130
0,people,call,1,130
0,people,call,1,130
0,people,call,1,130
0,people,chill,1,130
0,people,chill,1,130
0,people,chill,1,130
0,people,prefer,1,130
0,people,thats,1,130
0,people,heard,1,130
0,people,be,1,130
0,people,make,1,130
0,people,make,1,130
0,people,make,1,130
0,people,ask,1,130
0,people,got,1,130
0,people,got,1,130
0,people,ask,1,130
0,people,got,1,130
0,people,got,1,130
0,people,ask,1,130
0,people,got,1,130
0,people,got,1,130
0,people,want,1,130
0,people,tell,1,130
0,people,saying,1,130
0,people,forcing,0,130
0,people,question,1,130
0,people,blame,1,130
0,people,option,1,130
0,people,option,1,130
0,people,option,1,130
0,people,do,1,130
0,people,got,1,130
0,people,declare,1,130
0,people,declare,1,130
0,people,asked,1,130
0,people,find,1,130
0,people,find,1,130
0,people,find,1,130
0,people,find,1,130
0,people,be,1,130
0,people,be,1,130
0,people,be,1,130
0,people,be,1,130
0,people,expect,1,130
0,people,need,1,130
0,people,expect,1,130
0,people,need,1,130
0,people,forcing,0,130
0,people,punish,1,130
0,people,fail,0,130
0,people,are,1,130
0,people,situation,1,130
0,people,peeps,1,130
0,people,peeps,1,130
0,people,realise,1,130
0,people,book,1,130
0,people,realise,1,130
0,people,book,1,130
0,people,seen,1,130
0,people,feedback,1,130
0,people,feedback,1,130
0,people,facing,1,130
0,people,control,1,130
0,people,charge,1,130
0,people,control,1,130
0,people,charge,1,130
0,people,have,1,130
0,people,taking,1,130
0,people,ask,1,130
0,people,participate,1,130
0,people,heard,1,130
0,people,know,1,130
0,people,apply,1,130
0,people,suffer,1,130
0,people,relax,1,130
0,people,prove,1,130
0,people,are,1,130
0,people,lead,1,130
0,people,look,1,130
0,people,look,1,130
0,people,look,1,130
0,people,look,1,130
0,people,thing,1,130
0,people,af,1,130
0,people,thing,1,130
0,people,thing,1,130
0,people,af,1,130
0,people,thing,1,130
0,people,thing,1,130
0,people,af,1,130
0,people,thing,1,130
0,people,do,1,130
0,people,do,1,130
0,people,do,1,130
0,people,meet,1,130
0,people,changed,1,130
0,people,changed,1,130
0,people,changed,1,130
0,people,tend,1,130
0,people,get,1,130
0,people,heard,1,130
0,people,bring,2,130
0,kind,recommended,2,35
0,kind,count,1,35
0,kind,count,1,35
0,kind,sharing,1,35
0,kind,anyone,1,35
0,kind,ipt,1,35
0,kind,it,1,35
0,kind,job,1,35
0,kind,do,1,35
0,kind,job,1,35
0,kind,do,1,35
0,kind,that,1,35
0,kind,alr,1,35
0,kind,this,1,35
0,kind,trying,1,35
0,kind,have,1,35
0,kind,have,1,35
0,kind,have,1,35
0,kind,dgaf,1,35
0,kind,experiencing,1,35
0,kind,suffer,1,35
0,kind,experiencing,1,35
0,kind,suffer,1,35
0,kind,experiencing,1,35
0,kind,suffer,1,35
0,kind,make,1,35
0,kind,push,1,35
0,kind,make,1,35
0,kind,push,1,35
0,kind,know,1,35
0,medical,reviewing,1,68
0,medical,reviewing,1,68
0,checkup,did,1,9
0,checkup,mo,1,9
0,checkup,when,1,9
0,reviews,suggest,1,6
0,sg,rank,1,10
0,sg,getting,1,10
0,place,clean,2,29
0,place,experience,1,29
0,place,waste,0,29
0,place,check,2,29
0,place,friends,2,29
0,place,find,1,29
0,place,have,1,29
0,place,have,1,29
0,place,takes,1,29
0,place,machines,1,29
0,place,hands,1,29
0,place,mouthpiece,1,29
0,place,lot,1,29
0,place,there,1,29
0,clean,place,1,3
0,clean,butt,1,3
0,fine,me,2,31
0,fine,x,1,31
0,fine,it,1,31
0,fine,casescenario,1,31
0,fine,casescenario,1,31
0,fine,casescenario,1,31
0,fine,default,1,31
0,fine,time,1,31
0,fine,ones,1,31
0,fine,pay,1,31
0,fine,everything,1,31
0,fine,charged,0,31
0,fine,charge,1,31
0,fine,govt,1,31
0,fine,use,1,31
0,good,officerattitude,1,98
0,good,btw,1,98
0,good,escape,2,98
0,good,btw,1,98
0,good,escape,2,98
0,good,condition,1,98
0,good,i,1,98
0,good,have,1,98
0,good,dys,1,98
0,good,have,1,98
0,good,dys,1,98
0,good,s,1,98
0,good,ipt,1,98
0,good,record,1,98
0,good,this,1,98
0,good,driver,1,98
0,good,do,1,98
0,good,facility,1,98
0,good,meet,1,98
0,good,cutlet,1,98
0,good,cutlet,1,98
0,good,condition,1,98
0,good,condition,1,98
0,experience,place,1,15
0,experience,had,1,15
0,experience,has,1,15
0,experience,sharing,1,15
0,experience,done,1,15
0,experience,have,1,15
0,experience,defines,1,15
0,experience,miserable,0,15
0,experience,peepd,1,15
0,tip,le,1,4
0,u,have,1,617
0,u,have,1,617
0,u,touch,2,617
0,u,call,1,617
0,u,throw,1,617
0,u,touch,2,617
0,u,call,1,617
0,u,throw,1,617
0,u,touch,2,617
0,u,call,1,617
0,u,throw,1,617
0,u,touch,2,617
0,u,call,1,617
0,u,throw,1,617
0,u,booked,1,617
0,u,able,2,617
0,u,booked,1,617
0,u,able,2,617
0,u,talesign,1,617
0,u,book,1,617
0,u,r,1,617
0,u,talesign,1,617
0,u,book,1,617
0,u,r,1,617
0,u,talesign,1,617
0,u,book,1,617
0,u,r,1,617
0,u,rfit,1,617
0,u,turn,1,617
0,u,hit,2,617
0,u,think,1,617
0,u,hit,2,617
0,u,think,1,617
0,u,keepsiam,1,617
0,u,ord,1,617
0,u,turn,1,617
0,u,ord,1,617
0,u,turn,1,617
0,u,ord,1,617
0,u,turn,1,617
0,u,complete,2,617
0,u,get,1,617
0,u,completed,1,617
0,u,concern,1,617
0,u,concern,1,617
0,u,concern,1,617
0,u,concern,1,617
0,u,officerlor,1,617
0,u,rofficer,1,617
0,u,rofficer,1,617
0,u,ish,1,617
0,u,finish,1,617
0,u,getwatch,1,617
0,u,ask,1,617
0,u,finish,1,617
0,u,getwatch,1,617
0,u,ask,1,617
0,u,finish,1,617
0,u,getwatch,1,617
0,u,ask,1,617
0,u,siam,1,617
0,u,find,1,617
0,u,have,1,617
0,u,find,1,617
0,u,have,1,617
0,u,seen,1,617
0,u,officerranking,1,617
0,u,call,1,617
0,u,finished,1,617
0,u,call,1,617
0,u,finished,1,617
0,u,wrote,1,617
0,u,send,1,617
0,u,send,1,617
0,u,say,1,617
0,u,send,1,617
0,u,send,1,617
0,u,say,1,617
0,u,send,1,617
0,u,send,1,617
0,u,say,1,617
0,u,call,1,617
0,u,return,1,617
0,u,call,1,617
0,u,return,1,617
0,u,receive,1,617
0,u,done,1,617
0,u,left,1,617
0,u,left,1,617
0,u,dontdefer,1,617
0,u,keepsiam,1,617
0,u,ord,1,617
0,u,turn,1,617
0,u,ord,1,617
0,u,turn,1,617
0,u,ord,1,617
0,u,turn,1,617
0,u,complete,2,617
0,u,get,1,617
0,u,completed,1,617
0,u,concern,1,617
0,u,concern,1,617
0,u,concern,1,617
0,u,concern,1,617
0,u,officerlor,1,617
0,u,rofficer,1,617
0,u,rofficer,1,617
0,u,ish,1,617
0,u,finish,1,617
0,u,getwatch,1,617
0,u,ask,1,617
0,u,finish,1,617
0,u,getwatch,1,617
0,u,ask,1,617
0,u,finish,1,617
0,u,getwatch,1,617
0,u,ask,1,617
0,u,siam,1,617
0,u,find,1,617
0,u,have,1,617
0,u,find,1,617
0,u,have,1,617
0,u,seen,1,617
0,u,officerranking,1,617
0,u,call,1,617
0,u,finished,1,617
0,u,call,1,617
0,u,finished,1,617
0,u,wrote,1,617
0,u,send,1,617
0,u,send,1,617
0,u,say,1,617
0,u,send,1,617
0,u,send,1,617
0,u,say,1,617
0,u,send,1,617
0,u,send,1,617
0,u,say,1,617
0,u,call,1,617
0,u,return,1,617
0,u,call,1,617
0,u,return,1,617
0,u,receive,1,617
0,u,done,1,617
0,u,left,1,617
0,u,left,1,617
0,u,dontdefer,1,617
0,u,fail,0,617
0,u,got,1,617
0,u,want,1,617
0,u,fail,0,617
0,u,got,1,617
0,u,want,1,617
0,u,fail,0,617
0,u,got,1,617
0,u,want,1,617
0,u,supposed,1,617
0,u,have,1,617
0,u,charge,1,617
0,u,supposed,1,617
0,u,have,1,617
0,u,charge,1,617
0,u,supposed,1,617
0,u,have,1,617
0,u,charge,1,617
0,u,allowed,1,617
0,u,are,1,617
0,u,are,1,617
0,u,are,1,617
0,u,attended,1,617
0,u,attended,1,617
0,u,attended,1,617
0,u,program,1,617
0,u,program,1,617
0,u,program,1,617
0,u,attended,1,617
0,u,choose,1,617
0,u,attended,1,617
0,u,choose,1,617
0,u,have,1,617
0,u,rt,1,617
0,u,have,1,617
0,u,rt,1,617
0,u,got,1,617
0,u,got,1,617
0,u,got,1,617
0,u,got,1,617
0,u,have,1,617
0,u,choose,1,617
0,u,considers,1,617
0,u,choose,1,617
0,u,considers,1,617
0,u,choose,1,617
0,u,considers,1,617
0,u,standing,1,617
0,u,standing,1,617
0,u,understand,1,617
0,u,try,1,617
0,u,done,1,617
0,u,try,1,617
0,u,done,1,617
0,u,try,1,617
0,u,done,1,617
0,u,had,1,617
0,u,suggest,1,617
0,u,receive,1,617
0,u,fulfilled,1,617
0,u,receive,1,617
0,u,fulfilled,1,617
0,u,need,1,617
0,u,pass,1,617
0,u,fulfilled,1,617
0,u,need,1,617
0,u,pass,1,617
0,u,fulfilled,1,617
0,u,need,1,617
0,u,pass,1,617
0,u,fulfilled,1,617
0,u,need,1,617
0,u,pass,1,617
0,u,fulfilled,1,617
0,u,need,1,617
0,u,know,1,617
0,u,advise,1,617
0,u,know,1,617
0,u,advise,1,617
0,u,mean,0,617
0,u,find,1,617
0,u,mean,0,617
0,u,find,1,617
0,u,try,1,617
0,u,book,1,617
0,u,need,1,617
0,u,book,1,617
0,u,need,1,617
0,u,rt,1,617
0,u,have,1,617
0,u,rt,1,617
0,u,have,1,617
0,u,taken,0,617
0,u,have,1,617
0,u,attended,1,617
0,u,have,1,617
0,u,attended,1,617
0,u,have,1,617
0,u,attended,1,617
0,u,follow,1,617
0,u,follow,1,617
0,u,absent,1,617
0,u,have,1,617
0,u,are,1,617
0,u,seen,1,617
0,u,need,1,617
0,u,know,1,617
0,u,know,1,617
0,u,wasting,0,617
0,u,know,1,617
0,u,know,1,617
0,u,wasting,0,617
0,u,know,1,617
0,u,know,1,617
0,u,wasting,0,617
0,u,meet,1,617
0,u,have,1,617
0,u,cleared,1,617
0,u,passed,1,617
0,u,cleared,1,617
0,u,attended,1,617
0,u,cleared,1,617
0,u,passed,1,617
0,u,cleared,1,617
0,u,attended,1,617
0,u,cleared,1,617
0,u,passed,1,617
0,u,cleared,1,617
0,u,attended,1,617
0,u,cleared,1,617
0,u,passed,1,617
0,u,cleared,1,617
0,u,attended,1,617
0,u,cleared,1,617
0,u,passed,1,617
0,u,cleared,1,617
0,u,attended,1,617
0,u,cleared,1,617
0,u,passed,1,617
0,u,cleared,1,617
0,u,attended,1,617
0,u,ipt,1,617
0,u,need,1,617
0,u,get,1,617
0,u,get,1,617
0,u,select,1,617
0,u,mr,1,617
0,u,need,1,617
0,u,mr,1,617
0,u,need,1,617
0,u,walk,1,617
0,u,ask,1,617
0,u,walk,1,617
0,u,ask,1,617
0,u,walk,1,617
0,u,ask,1,617
0,u,ask,1,617
0,u,have,1,617
0,u,taking,1,617
0,u,have,1,617
0,u,taking,1,617
0,u,have,1,617
0,u,taking,1,617
0,u,subjected,1,617
0,u,book,1,617
0,u,pass,1,617
0,u,subjected,1,617
0,u,book,1,617
0,u,pass,1,617
0,u,subjected,1,617
0,u,book,1,617
0,u,pass,1,617
0,u,subjected,1,617
0,u,book,1,617
0,u,pass,1,617
0,u,want,1,617
0,u,want,1,617
0,u,want,1,617
0,u,want,1,617
0,u,have,1,617
0,u,rushing,1,617
0,u,receiving,1,617
0,u,inform,1,617
0,u,rushing,1,617
0,u,receiving,1,617
0,u,inform,1,617
0,u,have,1,617
0,u,know,1,617
0,u,sure,1,617
0,u,walk,1,617
0,u,have,1,617
0,u,know,1,617
0,u,sure,1,617
0,u,walk,1,617
0,u,have,1,617
0,u,know,1,617
0,u,sure,1,617
0,u,walk,1,617
0,u,have,1,617
0,u,know,1,617
0,u,sure,1,617
0,u,walk,1,617
0,u,managed,1,617
0,u,were,1,617
0,u,liable,0,617
0,u,let,1,617
0,u,liable,0,617
0,u,let,1,617
0,u,request,1,617
0,u,wadinfo,1,617
0,u,supposed,1,617
0,u,get,1,617
0,u,asking,1,617
0,u,wadinfo,1,617
0,u,supposed,1,617
0,u,get,1,617
0,u,asking,1,617
0,u,wadinfo,1,617
0,u,supposed,1,617
0,u,get,1,617
0,u,asking,1,617
0,u,select,1,617
0,u,booking,1,617
0,u,select,1,617
0,u,select,1,617
0,u,booking,1,617
0,u,select,1,617
0,u,select,1,617
0,u,booking,1,617
0,u,select,1,617
0,u,excuse,1,617
0,u,stayin,1,617
0,u,excuse,1,617
0,u,stayin,1,617
0,u,excuse,1,617
0,u,stayin,1,617
0,u,wan,1,617
0,u,excuse,1,617
0,u,tried,1,617
0,u,wan,1,617
0,u,excuse,1,617
0,u,tried,1,617
0,u,wan,1,617
0,u,excuse,1,617
0,u,tried,1,617
0,u,wan,1,617
0,u,excuse,1,617
0,u,tried,1,617
0,u,taken,0,617
0,u,call,1,617
0,u,having,1,617
0,u,have,1,617
0,u,having,1,617
0,u,have,1,617
0,u,training,1,617
0,u,rt,1,617
0,u,are,1,617
0,u,do,1,617
0,u,cleared,1,617
0,u,rt,1,617
0,u,are,1,617
0,u,do,1,617
0,u,cleared,1,617
0,u,rt,1,617
0,u,are,1,617
0,u,do,1,617
0,u,cleared,1,617
0,u,rt,1,617
0,u,are,1,617
0,u,do,1,617
0,u,cleared,1,617
0,u,know,1,617
0,u,know,1,617
0,u,get,1,617
0,u,know,1,617
0,u,know,1,617
0,u,get,1,617
0,u,know,1,617
0,u,know,1,617
0,u,get,1,617
0,u,need,1,617
0,u,mring,1,617
0,u,need,1,617
0,u,mring,1,617
