,index,Descriptors_singlish,Freq_singlish,Avg_sent_singlish,Avg_sent_no singlish,entity
0,ippt,"bookippt ,take ,finish ,take ,fall ,sit ,means ,failed ,pass ,failed ,pass ,book ,session ,book ,session ,book ,session ,booked ,booked ,do ,have ,do ,have ,take ,satsun ,book ,close ,satsun ,book ,close ,satsun ,book ,close ,satsun ,book ,close ,satsun ,book ,close ,satsun ,book ,close ,defaulted ,attempt ,attempt ,clear ,attempt ,attempt ,clear ,attempt ,attempt ,clear ,attempt ,attempt ,clear ,attempt ,attempt ,clear ,take ,take ,do ,took ,took ,fail",56,0.9010416666666667,0.953125,IPPT
2,session,"ippt ,turn ,do ,book ,attend ,book ,attend ,have ,book ,book ,attend ,book ,attend ,have ,book ,book ,attend ,book ,attend ,have ,book ,book ,attend ,book ,attend ,have ,book ,book ,attend ,book ,attend ,have ,book ,book ,attend ,book ,attend ,have ,book ,book ,attend ,book ,attend ,have ,book ,book ,attended ,khatib ,remain ,book ,attempt ,remain ,book ,attempt ,remain ,book ,attempt ,remain ,book ,attempt ,rtdefaulter ,book",29,0.924731182795699,1.0,TRAINING
3,rt,"got ,bookrt ,attending ,booked ,bookrt ,attending ,booked ,bookrt ,attending ,booked ,do ,do ,many ,many ,complete",25,1.0666666666666667,1.0666666666666667,RT/IPT
12,pes,"choose ,choose",11,1.0,1.0,ORG
13,pes,"choose ,choose",11,1.0,1.0,PERSON
18,portal,"check ,seem",8,1.0,1.0,PORTAL
19,fcc,"conduct ,conduct ,try ,try",8,1.0,1.0,FCC
20,months,"took ,took ,took ,took ,took ,took ,took ,took ,took ,took ,took ,took ,complete",8,1.0769230769230769,1.0769230769230769,DATE
28,camp,"entering ,entering ,khatib ,use ,misskranji",7,1.0,1.0,CAMP
32,weeks,"part ,part",6,1.0,1.0,DATE
33,finish,"ippt ,you ,sessions ,volunteer ,lah ,yearcycle ,siewgang ,u ,sessions ,fit ,u ,sessions ,fit",6,1.2,1.1538461538461537,NORP
39,days,have,5,1.0,1.0,DATE
44,years,have,5,1.0,1.0,DATE
57,saf,"issue ,try",4,1.0,1.0,ORG
58,saf,"issue ,try",4,1.0,1.0,PERSON
61,bmt,"havententer ,relax",4,1.0,1.0,BMT
73,service,pay,3,1.0,1.0,SERVICE
76,guards,"commando ,kena",3,0.5714285714285714,1.0,ORG
111,mo,"see ,ask",2,0.5,1.0,MEDICAL
124,navy,call,2,1.0,1.0,ORG
128,commando,guards,2,1.0,1.0,ORG
152,ya,same,2,1.0,1.0,PERSON
155,ict,done,2,1.0,1.0,ICT
174,saturday,interview,1,1.0,1.0,DATE
182,one,took,1,1.0,1.0,CARDINAL
187,booking,cancel,1,1.0,1.0,PORTAL
189,oc,told,1,1.0,1.0,ORG
