,post_title,post_username,post,reply to
0,"After 40 years old, still need to go back to reservist?",klarklar,"Is it true that once a Singaporean male reaches 40 years old, he will not be called back for reservist training? What if he still has not completed the full reservist cycle?",NIL
1,"After 40 years old, still need to go back to reservist?",Ottoke,Depends on your unit,NIL
2,"After 40 years old, still need to go back to reservist?",klarklar,"So, there is no general rule or law that says once reach 40, no need to be called back, right?",Ottoke wrote: Depends on your unit
3,"After 40 years old, still need to go back to reservist?",Kak_Worm,"If occifer will still need to go back, if reach 40 but still not yet complete cycle. Occifer age limit is until 45.","klarklar wrote: Is it true that once a Singaporean male reaches 40 years old, he will not be called back for reservist training? What if he still has not completed the full reservist cycle?"
4,"After 40 years old, still need to go back to reservist?",buttbERry,40 shld clear all ict liao leh  unless u keep siam,NIL
5,"After 40 years old, still need to go back to reservist?",swanpeach,U ord at the age of 40right? For example u turn 40at 10th Jan 2016. U won't be called baxk for incamp. Egen if the rest of.your unit still have ICT?,NIL
6,"After 40 years old, still need to go back to reservist?",Kak_Worm,Once they serve you letter tell you no need to go back then means no need to go back already lor. Why you so gravely concerned?  Its MINDEF. They wun forget you one.,"klarklar wrote: So, there is no general rule or law that says once reach 40, no need to be called back, right?"
7,"After 40 years old, still need to go back to reservist?",hohohos,You will receive a formal letter from Mindef....if not good luck,NIL
8,"After 40 years old, still need to go back to reservist?",Ghost_is_here,"If reach 40 and you still not yet complete your ICT cycle, the unit would not be calling you back. Instead they would send you a letter asking you to collect your Certificate Of Appreciation. No watch. No medals.",NIL
9,"After 40 years old, still need to go back to reservist?",mgx-alander,depends on ur rank...,NIL
10,"After 40 years old, still need to go back to reservist?",swanpeach,Even If u never complete all cycles. U still get the 3k right. Assumeinh u hit 40,NIL
11,"After 40 years old, still need to go back to reservist?",popdod, The watch cannot make it. The COA letter bosses oso bo chup The medals oso cannot sell to Cash Converters.  so 3h gifts....keep for themselves sua rah.  Nowadays reservists ish a liability for Sinkie male. while FT males happily working and promoting.,"Ghost_is_here wrote: If reach 40 and you still not yet complete your ICT cycle, the unit would not be calling you back. Instead they would send you a letter asking you to collect your Certificate Of Appreciation. No watch. No medals."
12,"After 40 years old, still need to go back to reservist?",croc1977,"i 35 already give moi useless watch....  CO ask moi want to extend 5 more year with rank go staff sgt...  i told him does staff sgt give moi job outside ? he diam diam...  in my mind no pay increase , rank pay increase but i cannot see....and got chance let FT take my job...siao....  u no FT take your job doesn't mean outside same",NIL
13,"After 40 years old, still need to go back to reservist?",klarklar,"Didn't know there is 3k to collect. But if a Singaporean male did not complete all cycles by 40, he does not deserve anything. Otherwise, it would be unfair to other Singaporean males who did complete.",swanpeach wrote: Even If u never complete all cycles. U still get the 3k right. Assumeinh u hit 40
14,"After 40 years old, still need to go back to reservist?",wongminmin,"Max: 40 for Nsf-nsmen (regardless u completed how many cycle)  there are rare cases, this happens in my unit, that person need two more cycle to complete for 3k, then he request to extend beyond 40. However, by extending, he still need to take ippt.","klarklar wrote: Didn't know there is 3k to collect. But if a Singaporean male did not complete all cycles by 40, he does not deserve anything. Otherwise, it would be unfair to other Singaporean males who did complete."
15,"After 40 years old, still need to go back to reservist?",Laguna123,This kinda is chao keng early years then now got goodie then want to extend.,"wongminmin wrote: Max: 40 for Nsf-nsmen (regardless u completed how many cycle)  there are rare cases, this happens in my unit, that person need two more cycle to complete for 3k, then he request to extend beyond 40. However, by extending, he still need to take ippt."
16,"After 40 years old, still need to go back to reservist?",klarklar,"So, nobody can force a person if he does not want to extend, right?","wongminmin wrote: Max: 40 for Nsf-nsmen (regardless u completed how many cycle)  there are rare cases, this happens in my unit, that person need two more cycle to complete for 3k, then he request to extend beyond 40. However, by extending, he still need to take ippt."
