level,date,purchased,review
Level 2. Rookie,Updated 4d ago,Purchased,"I was kind of hesitant to sign up for circles life at first as I saw many comments online about bad customer service, poor network and all that. But their cny promo was too good to pass up so I thought just try la. After all if it really was that bad, I can just port out again. I am writing this review to tell those naysayers YOU WERE WRONG. Customer service is clearly next level, I dropped them a dm close to 1am enquiring about how to check my upcoming bill and kai instantly replied me. Not a bot, a real person who sent me helpful screenshots to guide me. "
Level 3. Wonderkid,Updated 2w ago,Purchased,"Having been with circles life since 2018, I can safely say they really are one of the better telcos out there. Their customer service is prompt and efficient. I've seen improvements in their network so it shows they really listen! The app is also one of the best I've used in a long time. An incredible experience that everyone should try for themselves."
Level 2. Rookie,Updated 3w ago,Purchased,"[Customer Service] friendly customer service team that replies even late at night, only wish that they have hotline so i can thank them over the phone personally"
Level 2. Rookie,Updated 3w ago,Purchased,"[Customer Service] Customer service team is courteous and really know their stuff. They helped clarify that I wouldn't be getting a free tablet with my Data Only subscription, which was a bit of a bummer but it makes sense. Still might get a tablet later for my parents. "
Level 4. Prodigy,Updated 3w ago,Purchased,"I am writing this as i intend to switch to another telco. Reason being Circles network is really poor. I have been with Circles for some time, the benefits are really generous and customer service is prompt and friendly. But network is core when it comes to selecting a quality telco. Probably M1 network has been deteriorating and Circles that leech onto M1 network is implicated. Thus, its users indirectly affected."
Level 2. Rookie,Updated 3w ago,Purchased,"[Customer Service] Really friendly agents, especially on IG. Kai was easy to talk to and answered all my queries promptly. "
Level 2. Rookie,Updated 4w ago,Purchased,Will never ever recommend this lousy service to anyone!
Level 2. Rookie,Updated 4w ago,Purchased,"Porting over my number was super easy. And you can never run out of or worry about data with Circles. Mobile app has really good UI, I never encountered any issues with buying add-ons or checking my bills. Top-notch customer service as well. If you're looking to port over from another telco, I highly recommend circles"
Level 2. Rookie,Updated 4w ago,Purchased,"As a long time customer and someone who works on the go a lot, circles really does a great job at delivering a powerful and portable product. I also really enjoy their customer service. Even when I'm busy and forget to reply, an agent always comes to follow-up on my case. Highly recommend circles to everyone."
Level 2. Rookie,Updated 4w ago,Purchased,Great Customer Service and fast Network to stream movies. The User friendly Mobile app makes it easy to navigate the add-ons as well. Highly recommend using Circles ☺️
Level 2. Rookie,Updated 4w ago,Purchased,"I was a happy customer with Circle LIfe SIM only prepaid plan for past years with 2 lines. Initially the data was at 50GB and later increased to 100GB per month.  However with NO notice, CIrcle Life suddenly reduced both lines to 20GB in the middle of the subscription month and causing both lines to go dead (as it exceeded 20GB usage). No reason was given. Bills were paid every month.  It was extremely disappointing and NO response from circle life for 3 days (though has been receiving emails daily that they will respond within 24hrs).  Bad experience and totally unprofessional."
Level 2. Rookie,Updated on 05 Feb 2021,Purchased,"Have been using Circles for years now, and i have nothing bad to say.  Exceptional customer service. I always have so much data, i don't even use my wifi at home anymore! Best thing is you can also use your hotspot when you are working outside as well - super convenient. Marketing is always top notch too."
Level 2. Rookie,Updated on 04 Feb 2021,Purchased,Will come back and comment on the other features but so far customer service and port in have been fantastic.
Level 2. Rookie,Updated on 03 Feb 2021,Purchased,"[Customer Service] Amazing customer service, very prompt replies as well. They were able to answer my questions very quickly."
Level 2. Rookie,Updated on 03 Feb 2021,Purchased,[Customer Service] [Ease of porting]
Level 2. Rookie,Updated on 01 Feb 2021,None,"[Customer Service] Before I purchase the Sim + phone package, I reached out to the customer service to ask if it is possible for me to request for a separate earlier Sim card delivery, as I understand that phone delivery will take a while due to stock availability.  After I have paid for the phone, I then followed the instruction to try to request for the earlier delivery, but there was no option to do so. I reached out to the customer service again and now they are telling me that it cannot be done after ""talking to their team"".  I replied to the email with the copied text from the first customer service guy showing that I was promised it can be done, and requested for their assistance for this. This was last Friday evening, till now I am having radio silence from the customer service. So far the customer service experience has been frustrating as there was a lot of back and forth without anything being solved."
Level 2. Rookie,Updated on 30 Jan 2021,Purchased,"TLDR: lies upon lies by customer service, porting is a terrible experience and I have not been ported yet even. excuses of ASAP / 24h / 24-48h given, not sure if they have a concept of time. I’m utterly baffled at the customer service and how ‘ease of porting’ is promoted by this company. After 4 unsuccessful attempts, I contacted their Customer Service Chat. I contacted 2 agents asking when I will be receiving the call. Both told me they raised it to be ‘ASAP’. 3. lies upon lies provided by their customer service (ASAP, 24h, 48h)"
Level 2. Rookie,Updated on 29 Jan 2021,Purchased,"poor customer service also, spam emails but did not solve anything."
Level 4. Prodigy,Updated on 29 Jan 2021,Purchased,"Personally been using circles. life for years, the network has improved so much that there's no espect that I'll point out this days,"
Level 4. Prodigy,Updated on 25 Jan 2021,Purchased,Cell service has been great all over Singapore. Have been experiencing fast 4g speed. [Customer Service] Chat was able to answer any questions that i had !
Level 2. Rookie,Updated on 22 Jan 2021,Purchased,"[Customer Service] The customer service is amazing! Had an issue with my data and DM-ed Circles.Life on Instagram at 11 pm. Got an instant reply, was thoroughly impressed!"
