,index,Descriptors_singlish,Freq_singlish,Avg_sent_singlish,Avg_sent_no singlish
0,ippt,"bookippt ,take ,finish ,take ,fall ,sit ,means ,failed ,pass ,failed ,pass ,book ,session ,book ,session ,book ,session ,booked ,booked ,do ,have ,do ,have ,take ,satsun ,book ,close ,satsun ,book ,close ,satsun ,book ,close ,satsun ,book ,close ,satsun ,book ,close ,satsun ,book ,close ,defaulted ,attempt ,attempt ,clear ,attempt ,attempt ,clear ,attempt ,attempt ,clear ,attempt ,attempt ,clear ,attempt ,attempt ,clear ,take ,take ,do ,took ,took ,fail",56,0.9010416666666667,0.953125
1,ipt,"clear ,clear ,go ,do ,doing ,doing ,book ,book ,book ,book ,book ,book ,book ,book ,book ,book ,book ,book ,book ,book ,have ,completed ,completed ,completed ,book ,completed ,completed ,completed ,completed ,book ,completed ,completed ,completed ,completed ,book ,completed ,completed ,completed ,completed ,book ,completed ,completed ,completed ,completed ,book ,completed ,completed ,completed ,completed ,book ,completed ,complete",34,1.0192307692307692,1.0192307692307692
2,session,"ippt ,turn ,do ,book ,attend ,book ,attend ,have ,book ,book ,attend ,book ,attend ,have ,book ,book ,attend ,book ,attend ,have ,book ,book ,attend ,book ,attend ,have ,book ,book ,attend ,book ,attend ,have ,book ,book ,attend ,book ,attend ,have ,book ,book ,attend ,book ,attend ,have ,book ,book ,attended ,khatib ,remain ,book ,attempt ,remain ,book ,attempt ,remain ,book ,attempt ,remain ,book ,attempt ,rtdefaulter ,book",29,0.924731182795699,1.0
3,rt,"got ,bookrt ,attending ,booked ,bookrt ,attending ,booked ,bookrt ,attending ,booked ,do ,do ,many ,many ,complete",25,1.0666666666666667,1.0666666666666667
4,window,"closes ,complete ,complete ,complete ,let ,closes ,clear ,let ,closes ,clear ,let ,closes ,clear ,need ,over ,pass ,end ,over ,pass ,end ,closes ,considered ,open ,open ,open ,open ,open ,open ,open",22,1.103448275862069,1.103448275862069
5,sessions,"finish ,book ,attend ,book ,attend ,booked ,payable ,have ,attend ,finish ,clock ,need ,total ,complete ,it ,were ,need ,total ,complete ,it ,were ,need ,total ,complete ,it ,were ,need ,total ,complete ,it ,were ,need ,total ,complete ,it ,were ,need ,total ,complete ,it ,were ,need ,total ,complete ,it ,were ,need ,total ,complete ,it ,were ,book ,complete ,book",21,1.1481481481481481,1.1666666666666667
6,book,"le ,sessions ,i ,i ,ippt ,u ,session ,session ,session ,ipt ,windows ,ipt ,session ,you ,ippt ,session ,session ,ipt ,windows ,ipt ,session ,you ,ippt ,session ,session ,ipt ,windows ,ipt ,session ,you ,ippt ,session ,session ,ipt ,windows ,ipt ,session ,you ,ippt ,session ,session ,ipt ,windows ,ipt ,session ,you ,ippt ,session ,session ,ipt ,windows ,ipt ,session ,you ,ippt ,session ,session ,ipt ,windows ,ipt ,session ,you ,ippt ,sessions ,session ,ipt ,sessions ,session ,ipt ,sessions ,session ,sessions ,session",20,1.0575342465753426,1.0
7,clear,"you ,it ,lor ,you ,it ,lor ,everyone ,much ,it ,i ,ipt ,i ,window ,it ,i ,ipt ,i ,window ,it ,i ,ipt ,i ,window ,cycles ,windows ,windows ,you ,windows ,windows ,you ,windows ,windows ,you ,who ,ippt ,one ,doc",19,1.1081081081081081,1.0
8,time,"go ,attend ,what ,give",14,0.5833333333333333,1.25
9,year,"leap ,leap ,leap",13,1.0,1.0
10,thanks,"is ,replies ,see",12,0.5,1.0
11,anyone,"elaborate ,know ,confirm ,know ,went ,has ,knows ,knows ,knows ,knows ,got ,knows ,know",11,1.0,1.0
12,pes,"choose ,choose",11,1.0,1.0
13,gagt,"using ,using ,using ,using ,using",10,1.0,1.0
14,many,"rt ,rt",10,1.0,1.0
15,unit,"suppose ,nightmare ,arrange",9,0.6666666666666666,0.6666666666666666
16,call,"nightmare ,feel ,nightmare ,feel ,they ,u ,you ,hotline ,received ,make ,i ,navy",9,0.8833333333333333,0.8333333333333334
17,portal,"check ,seem",8,1.0,1.0
18,fcc,"conduct ,conduct ,try ,try",8,1.0,1.0
19,months,"took ,took ,took ,took ,took ,took ,took ,took ,took ,took ,took ,took ,complete",8,1.0769230769230769,1.0769230769230769
20,complete,"rt ,who ,those ,who ,those ,sessions ,rt ,sessions ,i ,ipt ,months",8,1.0,1.0
21,day,"missed ,missed",8,1.0,1.0
22,pass,"ippt ,window ,you ,you",7,1.3,1.0
23,ask,"i ,question ,them ,i ,i ,question ,them ,i ,i ,question ,them ,i ,instructors ,mo ,you ,leh",7,0.975,1.0
24,attempt,"made ,i ,ippt ,ippt ,i ,session ,i ,ippt ,ippt ,i ,session ,i ,ippt ,ippt ,i ,session",7,1.0,1.0
25,much,clear,7,1.0,1.0
26,slots,"blanked ,are ,are ,are ,are ,available",7,1.0,1.0
27,camp,"entering ,entering ,khatib ,use ,misskranji",7,1.0,1.0
28,need,"i ,rts ,window ,i ,you ,you ,everyone ,someone ,you ,doctors",6,1.18,1.0
29,new,"i ,i ,i ,i",6,1.0,1.0
30,guys,"wrote ,check ,going ,think ,peng",6,1.0,1.0
31,weeks,"part ,part",6,1.0,1.0
32,finish,"ippt ,you ,sessions ,volunteer ,lah ,yearcycle ,siewgang ,u ,sessions ,fit ,u ,sessions ,fit",6,1.2,1.1538461538461537
33,rounds,"it ,it ,ran ,ran",6,1.0,1.0
34,get,"i ,cert ,excuse ,everything",6,1.0,1.0
35,la,"attend ,stress",5,0.8333333333333333,1.0
36,attend,"time ,sessions ,we ,session ,you ,q ,session ,la ,right ,we ,session ,you ,q ,session ,la ,right",5,1.2,1.125
37,try,"booklet ,luck ,you ,fcc ,reason ,saf",5,1.0999999999999999,1.0
38,days,have,5,1.0,1.0
39,sure,"i ,i",5,1.0,1.0
40,slot,"select ,booked ,away ,those ,away ,those ,see",5,0.8571428571428571,1.0
41,right,"attend ,attend",5,0.6666666666666666,1.0
42,unable,"i ,they",5,1.0,1.0
43,years,have,5,1.0,1.0
44,fail,"u ,u ,u ,u ,we ,ippt",5,1.0,1.0
45,windows,"clear ,clear ,book ,closed ,clear ,clear ,book ,closed ,clear ,clear ,book ,closed ,clear ,clear ,book ,closed",5,1.0,1.0
46,see,"rest ,i ,slot ,mo",5,1.0,1.0
47,start,sent,4,1.0,1.0
48,review,caseetc,4,1.0,1.0
49,old,i,4,1.0,1.0
50,guess,"falls ,is ,i ,i",4,0.625,0.75
51,lor,clear,4,1.0,1.0
52,everyone,"clear ,wan ,need",4,1.0,1.0
53,sms,"got ,send ,show",4,1.0,1.0
54,thing,experienced,4,1.0,1.0
55,liao,"my ,mean",4,0.75,0.5
56,saf,"issue ,try",4,1.0,1.0
57,post,"refers ,see",4,0.5,1.0
58,contact,"them ,you ,him ,you ,him ,you ,soc",4,1.2571428571428573,1.0
59,bmt,"havententer ,relax",4,1.0,1.0
60,info,"got ,want",4,1.0,1.0
61,everything,"throw ,take ,b ,get",4,0.8333333333333333,1.0
62,mean,"sian ,that ,liao ,it ,it ,what ,you ,warmachine",4,0.9083333333333334,1.0
63,hope,"u ,confirm ,i",4,1.0,1.0
64,training,part,4,1.0,1.0
65,enough,which,4,1.0,1.0
66,idea,"wrote ,theres ,checked ,peng",4,1.0,1.0
67,end,window,4,1.0,1.0
68,programme,"mix ,announce ,attending",4,1.0,1.0
69,attendance,"counting ,discharge",4,1.0,1.0
70,push,"usemachine ,i",4,1.0,1.0
71,service,pay,3,1.0,1.0
72,birthday,"falls ,falls",3,0.0,0.0
73,batch,"think ,think",3,1.0,1.0
74,guards,"commando ,kena",3,0.5714285714285714,1.0
75,status,excuses,3,1.0,1.0
76,defaulter,"luck ,luck ,rtdefaulter",3,1.0,1.0
77,hq,"reason ,reason",3,1.0,1.0
78,work,they,3,1.0,1.0
79,question,"ask ,answer ,ask ,answer",3,1.0,1.0
80,help,"seek ,seek",3,1.0,1.0
81,cos,opened,3,1.0,1.0
82,know,"anyone ,they",3,1.0,1.0
83,issue,"facing ,they ,bands ,they ,packs",3,1.0,1.0
84,fit,"finish ,finish",3,1.0,1.0
85,nightmare,"unit ,call",3,1.0,1.0
86,luck,"try ,defaulter",3,1.0,1.0
87,part,"weeks ,training",3,1.0,1.0
88,rts,need,3,1.0,1.0
89,point,"i ,stress ,theres",3,1.0,1.0
90,late,imafraid,3,1.0,1.0
91,friend,"have ,my ,deferred",3,1.1666666666666667,1.0
92,mr,"throw ,means",3,1.0,1.0
93,close,ippt,3,1.0,1.0
94,company,matter,3,1.0,1.0
95,closes,"window ,window ,window",3,1.0,1.0
96,rest,see,3,0.0,1.0
97,matter,"company ,it ,which",3,1.0,1.0
98,thank,"you ,you ,you",3,1.6000000000000003,1.0
99,check,"roll ,you",3,1.3,1.0
100,able,"i ,i",3,1.0,1.0
101,understand,"information ,meaning ,i",3,1.0,1.0
102,leh,"someone ,ask ,someone ,ask",3,1.0,1.0
103,present,cert,3,1.0,1.0
104,instructors,ask,2,1.0,1.0
105,reason,"hq ,try",2,1.0,1.0
106,cover,"groin ,groin",2,1.0,1.0
107,thread,create,2,2.0,2.0
108,avoid,confusion,2,1.0,1.0
109,mo,"see ,ask",2,0.5,1.0
110,cancel,"booking ,they ,all",2,1.0,1.0
111,kenna,charged,2,1.0,1.0
112,answers,"get ,help",2,1.0,1.0
113,pay,"service ,members",2,1.0,1.0
114,instructions,"follow ,says",2,1.0,1.0
115,letter,"send ,thought",2,1.0,1.0
116,way,is,2,0.5,1.0
117,wear,"i ,tights ,i ,pants ,singlet ,u ,gloves",2,1.0,1.0
118,confirm,"anyone ,hope ,eastsider",2,1.3333333333333333,1.3333333333333333
119,system,"checked ,abuse",2,0.5,0.5
120,khatib,closed,2,1.0,1.0
121,gloves,wear,2,1.0,1.0
122,navy,call,2,1.0,1.0
123,board,require,2,1.0,1.0
124,meet,"you ,requirements",2,1.3,1.0
125,ooc,"u ,they",2,1.0,1.0
126,commando,guards,2,1.0,1.0
127,requirements,"meet ,fulfilled",2,1.0,1.0
128,someone,"need ,leh",2,0.5,1.0
129,website,checked,2,1.0,1.0
130,people,"take ,have",2,0.6666666666666666,1.0
131,open,window,2,1.0,1.0
132,message,"conveyed ,means",2,1.0,1.0
133,information,"understand ,helps",2,1.0,1.0
134,chance,"is ,gave",2,0.75,1.0
135,bit,include,2,1.0,1.0
136,program,starting,2,1.0,1.0
137,sit,ippt,2,1.0,1.0
138,sian,mean,2,0.0,0.0
139,activities,have,2,1.0,1.0
140,tag,"it ,got",2,1.0,1.0
141,oct,this,2,1.0,1.0
142,correct,misunderstanding,2,1.0,1.0
143,arrange,"who ,unit",2,1.0,1.0
144,kind,"count ,that ,alr",2,1.0,1.0
145,rmb,i,2,1.0,1.0
146,oic,"better ,better",2,2.0,2.0
147,bday,in,2,1.0,1.0
148,kena,"called ,you ,guards",2,1.2,1.0
149,follow,change,2,0.0,1.0
150,ya,same,2,1.0,1.0
151,defaulters,see,2,0.0,1.0
152,let,"it ,window",2,1.0,1.0
