,content
0,"Outstanding medics sian
As for reviews about MOs, go figure it out yourself"
1,whete you get rewarded for exercising
2,dun understand sian
3,why not book 20 IPPT instead then?
4,Should be subject to RT if you did not meet the requirements even if you’re turning 40 as it’s still ur IPPT Window tho.
5,"u will only know on the day itself, unless there are your unit commanders here in this forum. However, they are not allowed to reveal such information. Do understand what is OSA about otherwise you might get charged for it on such related offences. Recently there is a paramedic got charged under this act for your info. Nevertheless, what company you get in, how does it matter? Furthermore, this thread is IPPT-related. Make sure u know your topic and channels for feedback otherwise u will never get your answers promptly. This also applies during your upcoming stint as an NSF in the SAF."
6,MR already... Can throw away everything??
7,"Questions to ask regarding attire, as the guideline is not really comprehensive  1) If I wear short compression tights (above knee), must I wear another running pants to cover my groin, due to female instructors present. Or just wear a long singlet which is enough to cover your groin by tugging out?  2) Is wearing calf sleeves allow during test?  Intending to take IPPT at Bedok Camp. And I intend to only bring minimum items (11B, phone, water bottle), as after the test, need to ""Charlie-Mike"" 10km home-run"
8,"funky_banana wrote: hi guys, any idea if they are still giving colour tags for ipt in bedok fcc?  yellow, blue, red, green, orange still applies? Yellow = Strength and conditioning (Upper body and core mostly, for pushups and sit-ups) Blue = ""Fitness Challenge"" (Circuit training with kettle bells, weighted... bars? and stuff) (IMO, a more intensive version of yellow) Red = Cardio (aerobic fitness, for running; trainers usually will include a bit of other exercises to improve push-ups and sit-ups, just to mix things up) Green = Weight Management Programme for obese personnel. Orange = Sports.  There's a purple tag as well, so I hear, that does evening classes on weekdays like K-Pop aerobics (?) and stuff. I've never done those so if anyone could elaborate on these for a fuller picture, it would be appreciated."
9,Same for me too
10,"if you are just counting the recorded attendance, try the NS booklet on the portal"
11,"Just rmb u only can take RT-IPPT on 8th,14th,20th. So you need clear 7 RT first loh. And you only have 2 RT-IPPT (8th & 14th), the rest all RT"
12,"If your window closes on or before Feb 7, 2021, and you can’t clear it, you don’t have to clear lor. But since you have already cleared, them this wouldn’t affect you."
13,"same thing. if u failed to understand the meaning of ""in-pro"" and ""out-pro""."
14,should be correct.
15,"They will just discharge you, no attendance"
16,Ok thank you bro
17,Tomorrow resume IPT/RT liao.  Hope everyone can clear as much as possible.
18,"best to check with your unit, or division."
19,"That doesn't make any sense. I'm sure it only applies for defaulters. If not, how many ppl they need to charge for failing?"
20,"your unit is suppose to arrange for HSP FFI, not you because they need to issue u SAF100"
21,they can save ippt monetary rewards too
22,"Can check with you guys, am I able to extend my rt window by a month?"
23,"Kena called for IPPT next month, shag.."
24,really close until march? i haven't got that sms yet. i still got RT to chiong leh
25,"Ok, thanks!"
26,No You still have to finish the whole ippt including the 6 rounds of 2.4km They will take everything as your RT training programme for that day itself
27,Book at FCC.
28,Just go 1 time better than you do nothing cause from oct till (your window) since they wave till 1 week of feb which is more than enough to attend at least once.
29,will i have still have to complete 20 rt next cycle? thanks
30,Does anyone know how service pay is being calculated? Is it tag to salary? (Attend IPT counted 0.5 days)
31,I received 2 Long service medals. ORDed in 2000 MRed in 2015
32,BTW for SAFRA gym you have to pay $214 (members) or $267.50 (non members) https://www.ns.sg/web/portal/nsmen/h...bhiit-safragym
33,"Marina City Gallery @ Marina Bay https://www.ns.sg/web/wcm/connect/ns...y-city-gallery honestly speaking, there isn't easily avail info on the location of IPT-in-the-park. feedback to NS portal is necessary."
34,Cleared rt.  Need wait after my bday in Feb then can start booking IPT?  Coz online seems like can book le
35,i got a qn regarding IPPT. I am 36 years old. I did my blood test already however i did not get call up for my medical review nor get my HSP Cert.  Can I still go and take my IPPT? Or they will ask me to present my cert?  Please advise.  Thank you
36,"Aiya .. till now still unable to select any slot for IPT so forget it liao. My ah sir say you go and attend 1 time first and the rest will see wat S8 said.  If can pass, gd la. If fail bo bian lor."
37,"For ipt and rt must complete, let it be walk, jog, run or crawl. But for non ict ippt, can fall out before the run"
38,What kind of activities count as ORNS? I haven’t done a single ICT and it says I completed 4 ORNS year.
39,The OC told us on Tues that RT is no more. Must wait for minister to announce new programme.
40,"Once you finish all 10 sessions of IPT, including at least 1 IPT-IPPT, you will have fulfilled the requirements for the window."
41,"My guess is your birthday falls on 10th Aug. Year 0 - Aug 18 to 9 Aug 19 (no ippt required) Year 1 - 10 Aug 19 to 9 Aug 20 (ippt needed) n so on.. Ippt window is based on your birthday. N your post refers to your Year 1 IPPT window, which is until next year. U have slight more than 365 days to complete your window. What is there to scared of being summon?"
42,Ok thanks  Sent from Your Nightmare using GAGT
43,"Really missed the day of NSF, wake up early do 5 BX, arbo jog and exercise with wooden log.  Or else go swimming in lumber 4 at selarang pools in lap, gone are the day of digging self script and trenches or sit assault boat & do captize drill at sea follow by formation, once finish next carry the boat back and washes it ourself before returning it back to the boat man"
44,When will they credit to my bank account?
45,oic that is much better than last time liao
46,"My IPT session today got cancelled, just received SMS.  Bday is in May. I planned to clear it in Feb but due to covid-19, I am unable to book the sessions.  Just want to know if I didn't clear my IPT in this window,  1) My next window will be 20 - N (let say I managed to attend 3 sessions before window closes), 20 - 3 = 17.  2) I book 17 RT, 1 per week. When will the IPPT be held?  3) Do I clear the window after attending 17 RT?  4) Once I booked RT, do I still have the flexibility like IPT that I absent myself from the session booked due to work?  Thank yoU!"
47,"To add on even if we have MR, we are still liability to call up to the age of 40(WOSE) to 50(Officer) year old."
48,Ya but I booked IPT sessions for now. A lot of slots opened up cos of this new FIT thing can try ur luck
49,Yea cleared. That's what I always do previously
50,"long time ago it was 3 big rounds around part of the camp then it changed to running around the indoor carpark ""track"" hard ground....(no rubber track to cushion) dont think it has changed. so yea, you'll probably be breathing in dust and stale air for 6 rounds."
51, Means change again.. Just follow what they say Lor..
52,Yes just went there 2 weeks ago for Ippt.  Both sit up and push up use machine
53,did u email or contact them about this?
54,"It's just like some of us last week, went for IPT on sat/sun become IPT-IPPT (stunt)."
55,How many ippt attempt can one made? I was just a point away from my pass  Posted from PCWX using waify Ganyu mobile
56,"I checked last night, all blanked, no slots thru Nov. I'm on IPT, for context."
57,To be fair going back for reservists got its pros and cons...
58,"If fail, I need clear this 19 RTs.  So next window still need ippt?"
59,Rest In Peace then?
60,"They should put ""exempted"" instead of ""not yet taken"" to avoid confusion"
61,"As long u attempted 1 IPPT/ICT-IPPT in the whole work cycle, u will not be charged."
62,MR already means no need ippt right? Then if also above 35 years old still need to FFI?
63,"Sry i got a noob qns, can't seem to find the ans online: if i failed my ippt and have been training intensely on my own but my window is over, can i directly book and pass the ippt next window instead of going through all the RTs? Do i have really have to go through all the RTs?  P.S i am also affected by the ippt shutdown and my window will end before i am ready to book and attempt"
64,"mai volunteer lah  finish 10-year cycle, siew gang"
65,"is the timing very strict for IPPT at Khatib camp? I booked the 5pm slot, but it's stated need to be there 15min beforehand. What if I can only reach at 5pm or 5.15pm ? Will be rejected?"
66,Push up and sit up is machine. 2.4 run in sheltered carpark. Sent from Samsung SM-G975F using GAGT
67,still can have indoor activities. Mindef will send u an SMS should the session be cancelled.
