index,entity
Professional People,SERVICE
Medical,MEDICAL
medical,MEDICAL
checkup,MEDICAL
Checkup,MEDICAL
today 29 August 8am,DATE
more than 2 hours,TIME
NSF,ORG
LOL Takes,ORG
staff,SERVICE
Idk,PERSON
staff,SERVICE
staff,SERVICE
VAC,ORG
staff,SERVICE
medical,MEDICAL
screening,MEDICAL
5,CARDINAL
Staff,SERVICE
CMPB,CMPB
checkup,MEDICAL
this morning,TIME
staff,SERVICE
100%,PERCENT
January 1990,DATE
NSF,ORG
staff,SERVICE
MO,MEDICAL
Tbh,PERSON
medical,MEDICAL
Medical,MEDICAL
checkup,MEDICAL
PES,ORG
BMT,BMT
medical,MEDICAL
specialist,MEDICAL
staff,SERVICE
kind people,SERVICE
medical,MEDICAL
Meh,ORG
Staff,SERVICE
service,SERVICE
Tuesday,DATE
CMPB,CMPB
medical,MEDICAL
Medical,MEDICAL
screening,MEDICAL
NSF,ORG
$$$,MONEY
service,SERVICE
Idk,PERSON
many people,SERVICE
medical,MEDICAL
staff,SERVICE
service,SERVICE
at least 3hrs,CARDINAL
service,SERVICE
Worst Day,DATE
Highly,PERSON
MRT,FAC
Rude,ORG
staff,SERVICE
1h,CARDINAL
service,SERVICE
service,SERVICE
SAF,ORG
CPL Ong,PERSON
staff,SERVICE
IPPT,IPPT
IPPT,IPPT
IPPT,IPPT
IPPT,IPPT
2.4km,QUANTITY
ippt,IPPT
IPPT,IPPT
WGT,ORG
ORD,ORG
IPPT,IPPT
RT,RT/IPT
IPPT,IPPT
years,DATE
years,DATE
fcc,FCC
ippt,IPPT
RT,RT/IPT
IPPT,IPPT
IPPT,IPPT
Fifty years ago,DATE
IPPT,IPPT
NS,ORG
the State of Sport,GPE
Singapore,GPE
Down PES,PERSON
PTP,ORG
BMT,BMT
University,ORG
MO,MEDICAL
84 days,DATE
4,CARDINAL
PES,ORG
BMT,BMT
IPPT,IPPT
PES,ORG
NS SCS Pro-Term OOC,ORG
Pro-Term,ORG
SCGP,ORG
Recruit,ORG
BMT,BMT
NSF,ORG
550/1/1,CARDINAL
the past month,DATE
3rd,ORDINAL
this Thursday,DATE
12.45,CARDINAL
October 2nd,DATE
PES BP,ORG
BP,ORG
ORD,ORG
BMT,BMT
a few weeks ago,DATE
PES,ORG
medical,MEDICAL
MO,MEDICAL
ASA,ORG
3 months,DATE
Command Sch,PERSON
BMT,BMT
the 2 years,DATE
ASA,ORG
NDU,ORG
SAF,ORG
Singapore,GPE
BMT,BMT
BMT,BMT
28 september,DATE
first,ORDINAL
ORD,ORG
ORD,ORG
a few weeks,DATE
BMT,BMT
BMT,BMT
7 hours,TIME
Tekong,GPE
bmt,BMT
PES,ORG
portal,PORTAL
the Cyber NSF Scheme,ORG
B1,CARDINAL
POP,ORG
PES,ORG
PES,ORG
PES,ORG
medical,MEDICAL
medical,MEDICAL
PES,ORG
21 June,DATE
PES,ORG
BMT,BMT
the first week of July,DATE
9 July,DATE
CMPB,CMPB
MO,MEDICAL
PES,ORG
July,DATE
July,DATE
NS,ORG
early October this year,DATE
later this year,DATE
NS,ORG
1 year 10 months,DATE
ORD,ORG
August,DATE
the same month,DATE
ORD,ORG
the same year/month,DATE
ORD,ORG
the first few days/weeks,DATE
the next academic year,DATE
Hill Camp,CAMP
Hill camp,CAMP
Front,ORG
ASA,ORG
ASA,ORG
camp,CAMP
Mandai Hill,PERSON
PES B1,ORG
Grenades & Explosives Excuse,ORG
PES,ORG
PES B1,ORG
BMT,BMT
Government Scholarships,PERSON
medical,MEDICAL
SAF,ORG
SAR 21,DATE
M203,PERSON
SAW,ORG
SAF,ORG
NSF,ORG
next year,DATE
2021,DATE
one additional day,DATE
LEARNET,PORTAL
IPPT,IPPT
Field Camp,CAMP
medical,MEDICAL
an additional day,DATE
NS,ORG
portal,PORTAL
SCS Cadet,ORG
720,CARDINAL
720+,QUANTITY
PES C9,ORG
Service,SERVICE
2 April,DATE
BMTC School V,ORG
2022,DATE
WO Spec,ORG
MO,MEDICAL
checkup,MEDICAL
one,CARDINAL
PES,ORG
booking,PORTAL
the 8 of May,DATE
PES,ORG
MO,MEDICAL
PES,ORG
SCS,ORG
2 weeks,DATE
PES C9,ORG
1,CARDINAL
bmt,BMT
our 5 week,DATE
vocational training,TRAINING
PES C9,ORG
RSAF,ORG
POP,ORG
next week,DATE
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
HNITEC,ORG
3-4 years,DATE
BMT,BMT
Y2,CARDINAL
WSDIP,ORG
service,SERVICE
WSDIP,ORG
service,SERVICE
a nice day,DATE
2,CARDINAL
NS Vocation,ORG
Obese Batch,PERSON
bmt,BMT
B1,CARDINAL
ippt,IPPT
China,GPE
Questions for Pes E9,ORG
Specialist,MEDICAL
specialist,MEDICAL
MO,MEDICAL
specialist,MEDICAL
medical,MEDICAL
screening,MEDICAL
Ippt,IPPT
ORDed,ORG
2017,DATE
first,ORDINAL
ippt,IPPT
this year,DATE
rt,RT/IPT
cmpb,CMPB
ippt,IPPT
NS Deferment,PERSON
July 2nd,DATE
26th,ORDINAL
6th,ORDINAL
October,DATE
SAT,ORG
ACT,ORG
October,DATE
Preventive Medicine Technician,ORG
first,ORDINAL
one day,DATE
camp,CAMP
17,CARDINAL
the first day,DATE
BMT,BMT
pes C. From,PERSON
DOV,ORG
5,CARDINAL
1st August,DATE
Gedong camp,CAMP
1,CARDINAL
camp,CAMP
2,CARDINAL
camp,CAMP
3,CARDINAL
camp,CAMP
SOP,ORG
4,CARDINAL
NSF,ORG
11b,DATE
Kranji camp,CAMP
2,CARDINAL
Booking,PORTAL
kranji camp,CAMP
2,CARDINAL
Commandos/Guards,ORG
2021,DATE
one,CARDINAL
Commandos/Guards,ORG
SGeans,NORP
the Commando VA,FAC
specialist,MEDICAL
August,DATE
MO,MEDICAL
the 10th of March,DATE
100,MONEY
SCS,ORG
first,ORDINAL
$800+,MONEY
Singapore,GPE
99%,PERCENT
PES,ORG
1,CARDINAL
3,CARDINAL
SAF,ORG
2 years,DATE
BS,ORG
2 years,DATE
ASA,ORG
PES B1,ORG
B1,CARDINAL
PES,ORG
BMT,BMT
5 months,DATE
PES B1,ORG
PTP,ORG
just 2 years,DATE
PES,ORG
first,ORDINAL
PES C,ORG
bmt,BMT
service,SERVICE
bmt,BMT
ORD,ORG
2 years,DATE
asa end of day,DATE
2 years,DATE
PTP,GPE
PTP,ORG
booking,PORTAL
Saturday,DATE
camp,CAMP
Saturday,DATE
Saturday,DATE
morning,TIME
Friday,DATE
night,TIME
BMT,BMT
Saturday,DATE
BMT,BMT
PTP,ORG
PTP,ORG
Non-PTP,ORG
Saturday,DATE
morning,TIME
Saturday,DATE
booking,PORTAL
Saturday,DATE
evening,TIME
Profile,PERSON
OC,ORG
1,CARDINAL
NSF,ORG
2,CARDINAL
3,CARDINAL
Uni,ORG
August,DATE
2,CARDINAL
Saturday,DATE
NSF,ORG
night,TIME
BMT,BMT
a year,DATE
any days,DATE
annual,DATE
one,CARDINAL
the 2nd last day,DATE
BMT,BMT
Saturday,DATE
jc year 2,DATE
Lol,PERSON
MO,MEDICAL
IMH,ORG
Specialist,MEDICAL
mo,MEDICAL
mo,MEDICAL
IMH,ORG
No.3,CARDINAL
ippt,IPPT
ippt,IPPT
medical,MEDICAL
8 weeks,DATE
Pes,PERSON
ippt,IPPT
9 weeks,DATE
bmt,BMT
2 years,DATE
service,SERVICE
medical,MEDICAL
MO,MEDICAL
3SG,DATE
medical,MEDICAL
REC,ORG
one,CARDINAL
the 2 years,DATE
one month,DATE
bmt,BMT
PES,ORG
PES,ORG
6 months,DATE
bmt,BMT
ASA,ORG
PS/PC,ORG
NSF,ORG
PS/PC,ORG
assist,SERVICE
the end of the day,DATE
about $30-40,MONEY
11am,TIME
12+,QUANTITY
the day,DATE
60,MONEY
at least $360-$480,MONEY
UUAS,ORG
CDEC,ORG
Singapore,GPE
FR 500/1/1?Never,EVENT
Pes BP,PERSON
19 weeks,DATE
everyday,DATE
The first 8 weeks,DATE
2-3,CARDINAL
PES BP,ORG
PTP,ORG
first 10 weeks,DATE
|1430|Admin/Lecture/Other Activity|,ORG
3,CARDINAL
PTP,ORG
one,CARDINAL
two,CARDINAL
BMT,BMT
5km,QUANTITY
Morning,TIME
Afternoon,TIME
daily,DATE
first few weeks,DATE
Idts,ORG
last year,DATE
BP,ORG
SAF,ORG
camp,CAMP
Idiot Higher,PERSON
camp,CAMP
one month,DATE
ORD,ORG
April,DATE
ORD,ORG
at least a month,DATE
NS,ORG
other people,SERVICE
service,SERVICE
a month,DATE
service,SERVICE
the past few weeks,DATE
ORD,ORG
ORD,ORG
ORD,ORG
2 years,DATE
2 years,DATE
ORD,ORG
POPed,ORG
camp,CAMP
S1,ORG
ASA,ORG
BMT,BMT
2 months,DATE
2 months,DATE
2 years,DATE
2 years,DATE
camp,CAMP
first,ORDINAL
other people,SERVICE
BMT,BMT
NS,ORG
the end of the day,DATE
only two years,DATE
bmt,BMT
1.Cyber,CARDINAL
3,CARDINAL
ASA,ORG
Clerks,PERSON
Bulk,PERSON
4,CARDINAL
5,CARDINAL
Bulk,PERSON
april,DATE
bmt,BMT
NDU,ORG
first,ORDINAL
NDU,ORG
bmt,BMT
Center,PERSON
NSmen,ORG
UN,ORG
SG,ORG
Army,ORG
NSF,ORG
SF,GPE
Afghanistan,GPE
about a decade ago,DATE
SF,GPE
SF,GPE
March,DATE
Raven,CARDINAL
3,CARDINAL
the 28th of September,DATE
1sir,DATE
1,CARDINAL
night,TIME
16,DATE
19 days,DATE
camp,CAMP
the day,DATE
18 day,DATE
the first few days,DATE
29,CARDINAL
18 days,DATE
1,CARDINAL
the day,DATE
the next day,DATE
second,ORDINAL
Third,ORDINAL
first,ORDINAL
2,CARDINAL
1sir,DATE
1 more day,DATE
