,Avg_sent,Descriptors,Freq
i,0.9980158730158729,"wear ,wear ,hear ,done ,sure ,able ,got ,got ,received ,got ,old ,get ,get ,completed ,completed ,planned ,unable ,clear ,managed ,clear ,booked ,absent ,booked ,absent ,booked ,absent ,booked ,point ,checked ,ipt ,checked ,ipt ,need ,failed ,book ,ready ,booked ,reach ,sure ,heard ,sure ,heard ,took ,see ,bookippt ,going ,rushing ,afraid ,late ,afraid ,late ,think ,tried ,forgot ,think ,agree ,ask ,ask ,need ,thought ,checked ,need ,done ,thought ,checked ,need ,done ,thought ,checked ,need ,done ,thought ,checked ,need ,done ,thought ,taken ,counted ,thought ,taken ,counted ,attended ,tried ,knowthats ,get ,get ,see ,bother ,think ,defaulted ,called ,defaulted ,called ,defaulted ,called ,completed ,attempt ,attempt ,scared ,thinking ,attempt ,booked ,thinking ,attempt ,booked ,new ,seek ,booked ,seen ,checked ,dundeclare ,lie ,dundeclare ,lie ,booked ,passed ,able ,plan ,able ,plan ,confused ,see ,posted ,complete ,push ,complete ,push ,go ,think ,remember ,doubt ,hope ,remember ,doubt ,hope ,remember ,doubt ,hope ,see ,saw ,see ,saw ,see ,saw ,spent ,recruit ,spent ,recruit ,understand ,call ,guess ,rmb ,enlisting ,guess ,enlisting ,guess ,came ,think ,waited ,think ,waited ,teach ,enter ,get ,serving ,think ,rmb ,know",114
ippt,0.9007936507936508,"book ,take ,rewards ,whole ,finish ,take ,attempt ,need ,failed ,pass ,failed ,pass ,book ,book ,sessions ,sessions ,one ,one ,10th ,failed ,take ,session ,book ,training ,pass ,year ,attempt ,defaulted ,nonict ,attempt ,clear ,nonict ,attempt ,clear ,completed ,session ,take ,open ,slots ,took ,route ,fail",50
not,0.9875,"book ,meet ,allowed ,comprehensive ,get ,taken ,charged ,sure ,exactly ,need ,systemliao ,allowed ,conduct ,book ,forgetting ,able ,ðÿ™ðÿ» ,counted ,charged ,completed ,ipt ,allowed ,ah ,cancelled ,good ,much ,sure ,locked ,resumed ,sure ,put ,really",38
just,1.0,"wear ,mix ,counting ,rmb ,discharge ,go ,received ,want ,follow ,went ,point ,need ,follow ,went ,bookrt ,ask ,show ,continue ,go ,wan ,came ,clock ,go ,want ,18 ,lie ,need ,wanted ,relax ,go ,stay ,pretend",35
ipt,1.0533333333333332,"attend ,booking ,complete ,clear ,absent ,session ,go ,first ,sessions ,sessions ,sessions ,1 ,attend ,book ,book ,slots ,completed ,completed ,completed ,completed ,program ,completed ,completed ,complete ,resumed",35
still,1.05,"ipptwindow ,giving ,applies ,got ,go ,unable ,liability ,need ,need ,seeking ,good ,need ,consider ,anal ,thinking ,able ,distance ,serving ,news ,cdo",26
n't,1.12,"make ,got ,clear ,think ,seem ,know ,matter ,need ,go ,go ,answer ,relate ,book ,know ,clear ,bother ,stress ,complete ,think ,complete ,push ,complete ,push ,enter ,realize",24
window,1.032258064516129,"closes ,complete ,next ,n ,closes ,next ,n ,closes ,next ,n ,closes ,clear ,next ,need ,next ,pass ,next ,pass ,end ,closes ,considered ,start ,current ,current ,current ,current ,current ,current ,current ,current ,current",22
book,0.8787878787878788,"ippt ,le ,unable ,sessions ,directly ,ready ,need ,ippt ,faster ,slot ,ipptsession ,unable ,session ,unable ,ipptsession ,ipt ,unable ,ipptsession ,ipt ,ipt ,need ,session ,ipt ,ippt ,n't ,ippt ,continue ,sessions ,session ,unable ,sessions ,able ,session",22
so,0.9411764705882353,"need ,forget ,based ,breathing ,need ,strange ,advisable ,12 ,going ,check ,issue ,date ,rtdefaulter ,got ,see ,comes ,random",22
sessions,1.103174603174603,"finish ,book ,attend ,booked ,first ,ippt ,payable ,remaining ,ipt ,remaining ,ipt ,attend ,fit ,finish ,ipt ,clock ,many ,rt ,check ,need ,total ,complete ,total ,complete ,total ,complete ,rtippt ,taken ,already ,rtippt ,taken ,already ,rtippt ,taken ,already ,rtippt ,taken ,already ,book ,complete ,iptippt ,book",21
only,1.0701754385964914,"know ,bring ,take ,applies ,reach ,first ,one ,6 ,27 ,f ,training ,count ,9_10 ,try ,session ,feb ,ipt ,status ,waited",20
rt,1.1818181818181819,"loh ,got ,complete ,cleared ,attending ,booked ,kenna ,go ,complete ,supposed ,normal",19
session,1.0,"first ,ipt ,8th ,previous ,book ,ippt ,book ,first ,iptippt ,attended ,khatib ,ippt ,book ,last ,ippt ,book ,last ,8th ,iptippt ,book",17
year,0.988095238095238,"orns ,10th ,aug ,required ,10th ,aug ,required ,ipptwindow ,next ,ipptwindow ,ipptwindow ,next ,ipptwindow ,officer ,old ,last ,mindefmarch ,financial ,next ,man ,ippt ,next ,next ,leap ,next ,leap ,next ,leap",17
now,1.0769230769230769,"unable ,facing ,clear ,thought ,right ,start ,right ,thinking ,16 ,contact ,liao ,become ,issue",16
then,1.0,"instead ,start ,changed ,rest ,need ,sessions ,turn ,follow ,17 ,go ,dropped ,sure ,stay ,even ,shotts",15
also,0.9285714285714286,"applies ,affected ,slot ,iptippt ,agree ,mention ,luck ,seem ,issue ,skip ,called ,use ,plan ,jokingly",15
iptippt,0.8666666666666667,"become ,iptsession ,also ,iptsession ,sat_sun ,conduct ,take ,session ,timing ,slots ,sessions ,session ,take ,session ,take",14
time,0.9696969696969696,"go ,attend ,long ,first ,last ,good ,long ,give ,last ,dundeclare ,slots",13
next,1.0,"month ,cycle ,year ,finish ,window ,window ,yearseptember ,31 ,yearrt ,ipptwindow ,year ,intake ,year",13
first,0.9696969696969696,"loh ,attend ,session ,sessions ,clear ,ipt ,shelter ,time ,rtsession ,session ,ipptwindow",13
really,1.0,"comprehensive ,close ,missed ,want ,feel ,early ,rollercoaster ,wants ,knows",12
clear,1.0666666666666667,"loh ,n't ,ipt ,rts ,asap ,first ,wan ,cycles ,windows ,10 ,n't ,many ,make ,years ,one",12
last,1.0,"timeliao ,week ,night ,year ,time ,timeliao ,july ,session ,time ,yeari",12
anyone,1.0,"elaborate ,know ,confirm ,know ,went ,knows ,knows ,got ,knows ,know",11
unit,1.0,"commanders ,suppose ,man",11
pes,1.0,"f ,status ,e1 ,officially ,e1 ,officially ,status ,choose ,c ,c ,c",11
many,1.1,"ppl ,attempt ,sessions ,thanks ,clear ,defaulters ,years ,loans ,slots ,people",10
same,1.0,"thing ,windows ,time ,thing ,workyear ,window ,much ,day",10
gagt,1.0,"using ,gagt ,f ,using ,using ,using ,using ,using",10
already,1.0,"throw ,cleared ,means ,served ,sessions ,indeed ,46 ,seek ,pop ,waiting",9
thanks,0.6666666666666666,"ok ,many ,see",9
back,1.0,"carry ,returning ,carry ,returning ,going ,man ,came ,seen ,go ,get ,came",9
ns,1.0,"booklet ,portal ,portal ,portal ,hotline ,portal ,portal ,journey",9
current,1.0,"planning ,windows ,planning ,windows ,window ,window ,window ,window ,window ,window ,window ,window",8
there,1.0,"went ,book",8
portal,1.0,"ns ,ns ,check ,ns ,ns ,seem ,ns ,ns",8
more,1.0,"365 ,ippt ,session ,find ,xiong ,guy ,source",8
long,1.0,"singlet ,medals ,time ,charged ,40 ,time ,deems ,shotts",8
day,1.0,"missed ,additional",8
months,1.0769230769230769,"e1 ,took ,took ,e1 ,took ,took ,e1 ,took ,took ,e1 ,took ,took ,complete",8
https,1.0,"pay ,pay ,mid",7
slots,1.0,"ipt ,many ,different ,ippt ,time ,iptippt ,many ,different ,ippt ,time ,iptippt ,much ,available",7
much,1.4285714285714286,"clear ,better ,easier ,better ,pretty ,slots ,earn",7
aug,1.0,"year ,year ,year ,year ,year ,date",7
never,0.9333333333333332,"get ,done ,attend ,finish ,spent",7
rounds,1.0,"ago ,big ,ran ,run",6
weeks,0.6666666666666666,"half ,training ,training",6
camp,1.0,"bedok ,entering ,khatib ,use ,kranji ,miss",6
here,1.0,"commanders ,help ,relate ,anyone",6
windows,1.0,"clear ,current ,clear ,clear ,closed",6
sent,1.0,"haha ,faster ,roll",6
new,1.2,"programme ,fit ,yeartill ,hii ,mpcommander",6
few,1.0,"sessions ,ippt_ipts ,days ,slots ,months",6
ipptwindow,1.0,"still ,year ,year ,next ,open ,first",5
right,0.8333333333333333,"means ,attend",5
slot,0.8,"select ,booked ,also ,empty ,book",5
ah,1.0,sir,5
as,1.0,"'s ,much ,know ,long ,safe",5
big,1.0,"rounds ,vehicles ,wind ,queue ,decision",5
good,1.0,"still ,luck ,time ,replies ,v ,alr",5
iptsession,1.0,"begins ,10th ,iptippt ,however ,1st ,iptippt ,10th ,remain",5
even,1.0,"turning ,need ,nsfs",5
unable,1.0,"still ,select ,book ,book ,book ,book",5
quite,1.0,"jialat ,concerned ,confused ,mild",5
fail,1.0,"bo ,matter",5
t,1.0,"clear ,clear ,affect ,think",5
fcc,1.0,"conduct ,khatib ,closed ,kranji ,try",5
sure,1.0,"make ,liao ,saw",5
years,0.7333333333333333,"old ,many ,clear ,working ,mean",5
days,1.0,"slight ,working",5
once,0.8888888888888888,"attend ,finish ,nsfs",5
week,1.0,last,5
always,1.0,"get ,thought",4
enough,1.0,"singlet ,cover ,lockers ,serious",4
such,1.0,"information ,offences ,programme",4
guess,0.0,falls,4
better,1.0,"go ,oic ,much ,oic ,much ,late",4
well,1.0,schtho,4
yet,1.0,"got ,taken ,resumed ,enter",4
other,0.875,"exercises ,reservist ,company ,doc",4
bmt,1.0,"enter ,part ,companies",4
fit,1.0,"new ,thing ,sessions ,finish",4
attendance,1.0,"recorded ,counting",4
rtippt,0.7777777777777777,"take ,sessions ,sessions",4
everything,1.0,"throw ,everything ,b2 ,get",4
recruits,1.0,"female ,male ,female ,male ,female ,male ,female",4
