3,"AA adj. [Eng., abbrev. of a(ttract a(ttention]  Blatant, conspicuous, showy, unashamed.
2005 Renee Tan The Sunday Times, 27 February, 38 “Never see she show half ball meh.. so A.A.!” What it means: “Can’t you see she’s revealing a lot of cleavage.. so attract-attention!”",aa,unashamed,1
4,"abang /ah-bahng, ˈɑbɑŋ/ n. [Mal., elder brother; male cousin or male friend of one’s own generation (Winstedt); Ind. abang older brother or sister; form of reference for older males; form of address by wife to husband regardless of latter’s age (Echols & Shadily, Ind.–Eng.)]",abang,brother,1
11,act blur see entry under Blur.,blur,appeear to work,0
13,"adoi /ah-doy, ɑˈdɔɪ/ int. [< Mal. adoh, aduh oh!, an interjection of grief or pain; adohai, adohi, adui, aduhai oh! an interjection of sorrowful surprise (Wilkinson); adoh, adohi, adohai exclamations of pain or wonder (Winstedt); compare Ind. aduh ouch! ow! (Echols & Shadily, Ind.–Eng.); Jav. aḍo, aḍuh exclamation of pain, sorrow, joy (Horne); Kristang adoi ouch! (Baxter & de Silva)]",ah-doy,grief,0
17,"agak /ah-gah(k), ˈɑɡɑ(k̚)/ n. & v. [Mal., conjecture, guessing; agak-agak approximately, as far as one can guess, more or less]  Also agak-agak.  A n. A guess, an estimation: Agaration.  B v. Guess, estimate.
2000 Cheong Suk-wai and Magdalene Lum (quoting Hooi Kok Wai) The Sunday Times (Sunday Plus), 26 November, P2 ‘He was from the “no room for agak-agak” school of cooking. Every recipe had to have a precise formula, as he believed firmly that was the only way to keep the quality of dishes consistent.’ Agak-agak means to guesstimate.  2004 Teo Pau Lin (quoting Pamelia Lee) The Straits Times (LifeStyle), 9 May, 32 [A]ll along she’d cooked by agak (estimation). So when she wrote the cookbook, she had to discipline herself to putting everything into measurements.  B 2008 Huang Lijie (quoting Henrietta Tay) The Sunday Times (LifeStyle), 7 December, 28 “My mother-in-law and grandmother-in-law used to tell me their recipes needed ‘a little of this and a little of that’, so I’m used to agak-agak.” Agak-agak is Malay for guesstimate.",agah,conjecture,1
18,"agaration /ah-gah-ray-shən, ˌɑɡɑˈreɪʃən/ n. [Mal. aga(k + Eng. –ration]  A guess, an estimation: Agak n.
2000 Samuel Lee The Straits Times (Life! This Weekend), 28 December, 6 Free of dents and scrapes so far, any wrong move or salah agar-ation will mar the car’s flawless paintwork.",agaration,guess,1
19,"agar-agar /ah-gah, ˈɑɡɑː/ n. [Mal.]",agar-agar,guess,1
22,"ah /ah, ɑ/ int. [Mand. 啊 à exclamation used at the end of sentences to indicate admiration, affirmation, exhortation, etc., or a query] interrog.  1 Conveying emphasis.  2 Expressing a request for the clarification of something just said.  Compare Hah.
1 2000 Samuel Lee The Straits Times (Life!), 22 December, L12 Wah lau eh, so packed ah, and I thought this was a private party by invite only?  2005 ‘Mr Brown’ (Lee Kin Mun) Today, 22 April, 30 So smart, ah, you.  2006 Cheong Suk-Wai (quoting Khalid Mohamad Jiwa) The Sunday Times (from Straits Times Interactive), 20 August, L4 “Aiyah, you ahhh,” he drawls in a chiding tone, before breaking into throaty chuckles.  2006 Tabitha Wang Today (Todayonline.com), 6 October. Another, whose grandiose plans had fallen flat, gloomily repeated to herself: “Die ah, fail already.”  2006 Neil Humphreys Weekend Today (Todayonline.com), 7 October. In Singapore, strangers crossed my path to say, “Wah, so tall, ah.”  2008 Colin Goh The Sunday Times (LifeStyle), 28 December, 11 Nowadays, the children ah!  2013 Melissa Kong (quoting Tosh Zhang) Lifestyle, April, 62 The authorities are still trying to tell us, “Eh, this one cannot watch ah, later influence you all negatively then reflect badly on our society.”  2 2000 Kelvin Tong The Straits Times (Life! This Weekend), 23 November, 9 You never see the traffic jam there, ah?  2000 Cheong Suk-wai The Straits Times (Life!), 25 November, L12 Wah, you’ve been married 30 years ah?  2004 Wendy Cheng (quoting Andrew Seow) Today, 26 May, 34 Hey, must take photo ah?  I look very ugly in photos leh.  2006 Juliana June Rasul (quoting Sheila Majid) Today, 25 July, 31 Where should I begin, ah?  2010 Colin Goh The Sunday Times (LifeStyle), 18 April, 24 Sure, ah? Thanks, man, pai seh.  2011 Rachel Chang The Sunday Times (LifeStyle), 23 October, 15 See how lor. Who’s going ar?",ah,affirmation,1
25,"ah beng, Ah Beng /beng, bɛŋ/ n. & a. [a common Chinese male name, poss. Hk. 明 beng clear, bright; to illustrate, to illumine; to display, to distinguish (Medhurst); Mand. míng bright, brilliant, light; clear, distinct; open, overt, explicit; sharp-eyed, clear-sighted; aboveboard, honest; sight; understand, know (Chi.–Eng. Dict.)] Also ellipt. beng, Beng. derog.  A n. A man perceived to be loutish and uncouth, and who follows fashion trends but is often viewed as lacking taste; the male counterpart of an Ah Huay or Ah Lian.  B a. Having the nature or attributes of an ah beng.
A 1999 Cleo, May. I’m the King of Bengs! [title] .. He says he doesn’t give a hoot if people call him an ah beng, a catch-all term for the uncouth, the uneducated, the unrefined, the unenlightened, who blindly define status by the brands they own.  .. “I’m the king of bengs,” he laughs, “I have my own Prada bag, Prada shoes, Prada jacket, Gucci belt, clothes from Calvin Klein, Armani, Valentino..”  1999 Clarissa Oon The Straits Times (Life!), 29 December, 9 He skulked around.. watching hard-core bengs drag on their cigarettes.  2000 Arti Mulchand The Straits Times (Life!), 21 July, 5 Tacky enough for an Ah Beng.  2001 Neil Humphreys Notes from an Even Smaller Island 83 My friend David is always reminding me to stay away from these dangerous gangsters who stalk the streets. These people are apparently so menacing that they have even been labelled with menacing names. The boys are called Ah Bengs and the girls Ah Lians. I have been warned by friends never to make eye contact with them, never to laugh at their ridiculous clothing combinations (white, skin-tight trousers and vest, black belt and a bright yellow handphone stuck to the hip) and never to get into an argument with them because they are usually armed with knives or, wait for it, parangs.  2001 Cheong Suk-Wai, Tee Hun Ching & Michelle Ho (quoting Eng Jeng Hwee) The Sunday Times (Sunday Plus), 7 January, P3 Once the younger consumers hear the world ‘cognac’, they would think, “This is what Ah Bengs would drink.”  2003 Peh Shing Huei (quoting Allan Chia) The Sunday Times, 12 October, 32 Wayne Rooney can wait. He is still young. Anyway, he is a chao ah beng.  B 2000 Arti Mulchand The Straits Times (Life!), 21 July, 5 And beng or not, their radio ditties are catchier than the flu. .. Boom Boom Boom Boom is a staple in the Beng-mobile phone ringer collection.  2000 Chris Ho The Straits Times (Life!), 29 December, L6 This is the perfect pop album few believed [Kylie] Minogue could deliver. Campy, chic and also ‘beng’, Light Years is light all right but it also has X-factor thrill and dare.",ah beng,uncouth,0
26,"ah chek /chek, tʃɛk˺/ n. [Hk. 叔 chek an uncle, a father’s brother (Medhurst); Mand. jìu mother’s brother, uncle (Chi.–Eng. Dict.)]  A middle-aged or elderly man.
1987 Toh Paik Choo On the Buses 69 It’s ‘Ah Ko’ when he doesn’t look old enough to be your father and ‘Ah Chek’ when he does.  2000 Cheong Suk-Wai The Sunday Times (Sunday Plus), 3 September, 3 Lurking ah cheks, ah peks and ah sohs.  2005 Tan Chek Wee Today, 9 December, 47 It could be the ah pek, ah soh, ah chek, or even the pakcik or makcik – this syndrome seat-patting [sic: seat-patting syndrome?] spans all the major races in Singapore (well, all right, I have yet to see an ang moh doing so), transcending sex, educational level and age.",ah chek,uncle,1
29,"ah kor /go (ko), ɡɒ (kɒ)/ n. [Hk. 哥 kor (elder) brother; Mand. gē (elder) brother (Chi.–Eng. Dict.)]  A waiter (?).
2006 Teo Pau Lin & Eunice Quek The Straits Times (from Straits Times Interactive), 24 June. Dressed in bow ties and maroon waistcoats, the silver-haired Hainanese ah kor (waiters) offer courtly, old-world service that harks back to post-war Singapore.",ah kor,brother,1
30,"ah kua, ah kwa /kuah, kʊɑː/ n. & a. [poss. Hk. (邪 k’hwa (sëà distorted, perverse (Medhurst); Mand. kuā (literary language) askew, crooked, aslant, oblique (+ xié evil, heretical, irregular) (Comp. Chi.–Eng. Dict.)] Also ah gua, ah qua, and abbrev. to AK, AQ. derog.  A n. 1 An effeminate man.  2 A male transvestite.  B a. Effeminate, sissy.
A 1 1978 Leong Choon Cheong Youth in the Army 303 a koa peng. An effeminate soldier: Hokkien.  1985 Michael Chiang Army Daze 33 Ar kwa (Hokkien) .. effeminate soldier.  2006 Leong Su-lin The Straits Times (Life!) (from Straits Times Interactive), 3 April. Kumar is a drag queen, not a transvestite. .. He has no desire to be a woman, he says, and he does not get a thrill from wearing women’s clothes. It is just part of his job. .. [W]hen he started out, he found jeers of ‘Ah Kwa’ (a Hokkien term used loosely to describe effeminate men) from the audience ‘really hurtful’, but forced himself to put on a facade.  2 2004 ‘Mr Brown’ (Lee Kin Mun) Today, 9 April, 20 [W]ah lau eh, that one look like Changi Village Ah Gua, man!  2005 Karl Ho (quoting Gia Tamalas) The Sunday Times (LifeStyle), 22 May 2005, L4 People don’t say “eee, ah kuah” anymore, at least not in front of my face.  2008 Wong Kim Hoh The Straits Times (Saturday), 6 September, D2 Make-up artist Lynette Leong aka Ginger, in her 30s, says the [transsexual] community has to put up with many derogatory names, including ah kwa and bapok.  B 2006 Jeanine Tan (quoting Kumar) Today, 4 January, 32 They called me ah kua (Hokkien for sissy) lah, what else?",ah kua,distorted,0
31,"ah lian, Ah Lian /leearn, liːɛn/ n. & a. [a common Chinese female name, poss. Hk. 莲 lëên < 莲(花 lëên (hwa) the water lily (Medhurst); Mand. lián lotus + huā flower, blossom, bloom (Chi.–Eng. Dict.); Hk. 荷)莲 (hô) lëên the lotus (Medhurst); Mand. hé lotus (Chi.–Eng. Dict.)] Also ellipt. lian, Lian. derog.  A n. The female counterpart of an Ah Beng: a woman perceived to be loutish and uncouth, and who follows fashion trends but is often viewed as lacking taste.  B a. Having the nature or attributes of an ah lian.
A 2000 Yeow Kai Chai The Sunday Times (Sunday Plus), 2 July, 5 He has been accused of making Fann Wong look like a cheena ah lian.  2000 Theresa Tan & Neo Hui Min (quoting Jolin Tan) The Straits Times, 4 December, H10 Parents don’t spend much time with their kids in Singapore and they turn into ‘Bengs’ and ‘Lians’.  2000 Samuel Lee The Straits Times (Life!), 29 December, L8 You can’t deny that it was a good tune. Even if the Bengs and Lians latched on six months after the general populace.  2001 Michelle Ho The Sunday Times (Sunday Plus), 14 January, P7 Often labelled as Bengs and Lians, they howl in Hokkien and gesture in unison while dancing to Euro-trance.  B 2000 Jason Wee The Straits Times (Life!), 16 October, 8 An ah lian manicurist.  2001 Clarissa Oon (quoting Cynthia Lee MacQuarrie) The Straits Times (Life!), 9 July, L5 So what’s the most lian thing about you?  .. Actually, I do not think I’m lian at all, definitely not my dressing.  2004 Lim Kuan Chiang Today, 14 May, 48 [W]e’re not going to go back to those ah lian insults published in the press last month.",ah lian,uncouth,0
